Molecule,full_id,label
MOL00000183,MOL00000183_1,1
MOL00000189,MOL00000189_50,1
MOL00000097,MOL00000097_1,1
MOL00000110,MOL00000110_1,1
MOL00000268,MOL00000268_1,1
MOL00000229,MOL00000229_7,1
MOL00000223,MOL00000223_21,1
MOL00000328,MOL00000328_46,1
MOL00000446,MOL00000446_26,1
MOL00000447,MOL00000447_95,1
MOL00000486,MOL00000486_97,1
MOL00000359,MOL00000359_10,1
MOL00000555,MOL00000555_77,1
MOL00000538,MOL00000538_1,1
MOL00000527,MOL00000527_14,1
MOL00000823,MOL00000823_1,1
MOL00000752,MOL00000752_21,1
MOL00000677,MOL00000677_2,1
MOL00000657,MOL00000657_13,1
MOL00000818,MOL00000818_83,1
MOL00000779,MOL00000779_10,1
MOL00000574,MOL00000574_11,1
MOL00000628,MOL00000628_58,1
MOL00000616,MOL00000616_15,1
MOL00000579,MOL00000579_3,1
MOL00000639,MOL00000639_15,1
MOL00000612,MOL00000612_69,1
MOL00000863,MOL00000863_10,1
MOL00000971,MOL00000971_12,1
MOL00001040,MOL00001040_31,1
MOL00001102,MOL00001102_5,1
MOL00000923,MOL00000923_10,1
MOL00000957,MOL00000957_20,1
MOL00000832,MOL00000832_53,1
MOL00001035,MOL00001035_8,1
MOL00001100,MOL00001100_60,1
MOL00001244,MOL00001244_59,1
MOL00001270,MOL00001270_29,1
MOL00001284,MOL00001284_37,1
MOL00001545,MOL00001545_28,1
MOL00001333,MOL00001333_3,1
MOL00001432,MOL00001432_61,1
MOL00001470,MOL00001470_48,1
MOL00001524,MOL00001524_43,1
MOL00001616,MOL00001616_21,1
MOL00001692,MOL00001692_22,1
MOL00001613,MOL00001613_12,1
MOL00001622,MOL00001622_1,1
MOL00001812,MOL00001812_3,1
MOL00001683,MOL00001683_34,1
MOL00001733,MOL00001733_42,1
MOL00001689,MOL00001689_77,1
MOL00001659,MOL00001659_1,1
MOL00001853,MOL00001853_84,1
MOL00001957,MOL00001957_10,1
MOL00001884,MOL00001884_95,1
MOL00001611,MOL00001611_55,1
MOL00001988,MOL00001988_3,1
MOL00002332,MOL00002332_12,1
MOL00002359,MOL00002359_92,1
MOL00002565,MOL00002565_27,1
MOL00002036,MOL00002036_49,1
MOL00002246,MOL00002246_47,1
MOL00002080,MOL00002080_10,1
MOL00002524,MOL00002524_10,1
MOL00002508,MOL00002508_57,1
MOL00003223,MOL00003223_5,1
MOL00002651,MOL00002651_2,1
MOL00002745,MOL00002745_21,1
MOL00003185,MOL00003185_4,1
MOL00003007,MOL00003007_1,1
MOL00002675,MOL00002675_3,1
MOL00002930,MOL00002930_18,1
MOL00002665,MOL00002665_37,1
MOL00002822,MOL00002822_26,1
MOL00003257,MOL00003257_26,1
MOL00003238,MOL00003238_10,1
MOL00003319,MOL00003319_23,1
MOL00002921,MOL00002921_32,1
MOL00003345,MOL00003345_45,1
MOL00002937,MOL00002937_16,1
MOL00003324,MOL00003324_32,1
MOL00003448,MOL00003448_43,1
MOL00003536,MOL00003536_66,1
MOL00003833,MOL00003833_26,1
MOL00003694,MOL00003694_7,1
MOL00003863,MOL00003863_55,1
MOL00003979,MOL00003979_2,1
MOL00003991,MOL00003991_34,1
MOL00003711,MOL00003711_100,1
MOL00004399,MOL00004399_14,1
MOL00004703,MOL00004703_11,1
MOL00004224,MOL00004224_1,1
MOL00004221,MOL00004221_59,1
MOL00004662,MOL00004662_2,1
MOL00004191,MOL00004191_11,1
MOL00004282,MOL00004282_41,1
MOL00004212,MOL00004212_63,1
MOL00004844,MOL00004844_7,1
MOL00004145,MOL00004145_1,1
MOL00004277,MOL00004277_26,1
MOL00004717,MOL00004717_14,1
MOL00004527,MOL00004527_40,1
MOL00004388,MOL00004388_1,1
MOL00004646,MOL00004646_2,1
MOL00004114,MOL00004114_43,1
MOL00004010,MOL00004010_81,1
MOL00005077,MOL00005077_36,1
MOL00004989,MOL00004989_1,1
MOL00005583,MOL00005583_1,1
MOL00006116,MOL00006116_1,1
MOL00005210,MOL00005210_12,1
MOL00006059,MOL00006059_34,1
MOL00006128,MOL00006128_69,1
MOL00005686,MOL00005686_7,1
MOL00006091,MOL00006091_70,1
MOL00005994,MOL00005994_37,1
MOL00006079,MOL00006079_60,1
MOL00006082,MOL00006082_2,1
MOL00005457,MOL00005457_2,1
MOL00005654,MOL00005654_52,1
MOL00006474,MOL00006474_9,1
MOL00006248,MOL00006248_19,1
MOL00006385,MOL00006385_23,1
MOL00006351,MOL00006351_2,1
MOL00006225,MOL00006225_20,1
MOL00006595,MOL00006595_1,1
MOL00006465,MOL00006465_63,1
MOL00006945,MOL00006945_1,1
MOL00006618,MOL00006618_10,1
MOL00006994,MOL00006994_11,1
MOL00006943,MOL00006943_4,1
MOL00007241,MOL00007241_21,1
MOL00007317,MOL00007317_7,1
MOL00006875,MOL00006875_29,1
MOL00007291,MOL00007291_13,1
MOL00007379,MOL00007379_27,1
MOL00007583,MOL00007583_31,1
MOL00007772,MOL00007772_66,1
MOL00007590,MOL00007590_12,1
MOL00007656,MOL00007656_32,1
MOL00007539,MOL00007539_17,1
MOL00007659,MOL00007659_59,1
MOL00007857,MOL00007857_42,1
MOL00007858,MOL00007858_4,1
MOL00007788,MOL00007788_94,1
MOL00007686,MOL00007686_44,1
MOL00007811,MOL00007811_2,1
MOL00007931,MOL00007931_45,1
MOL00008024,MOL00008024_11,1
MOL00007901,MOL00007901_1,1
MOL00008136,MOL00008136_78,1
MOL00008128,MOL00008128_70,1
MOL00007805,MOL00007805_4,1
MOL00008068,MOL00008068_29,1
MOL00007882,MOL00007882_62,1
MOL00008182,MOL00008182_17,1
MOL00008285,MOL00008285_90,1
MOL00008260,MOL00008260_49,1
MOL00008468,MOL00008468_3,1
MOL00008393,MOL00008393_12,1
MOL00009098,MOL00009098_1,1
MOL00008917,MOL00008917_30,1
MOL00009051,MOL00009051_86,1
MOL00009037,MOL00009037_19,1
MOL00009011,MOL00009011_1,1
MOL00009290,MOL00009290_1,1
MOL00009060,MOL00009060_79,1
MOL00008966,MOL00008966_6,1
MOL00009324,MOL00009324_11,1
MOL00008885,MOL00008885_9,1
MOL00009266,MOL00009266_70,1
MOL00009333,MOL00009333_57,1
MOL00009224,MOL00009224_1,1
MOL00009342,MOL00009342_16,1
MOL00009350,MOL00009350_24,1
MOL00010660,MOL00010660_7,1
MOL00010185,MOL00010185_3,1
MOL00010543,MOL00010543_1,1
MOL00010258,MOL00010258_18,1
MOL00010038,MOL00010038_6,1
MOL00010706,MOL00010706_5,1
MOL00010321,MOL00010321_11,1
MOL00010581,MOL00010581_86,1
MOL00010061,MOL00010061_1,1
MOL00010590,MOL00010590_5,1
MOL00010830,MOL00010830_10,1
MOL00010855,MOL00010855_23,1
MOL00011044,MOL00011044_10,1
MOL00011167,MOL00011167_9,1
MOL00010806,MOL00010806_6,1
MOL00010829,MOL00010829_15,1
MOL00011273,MOL00011273_2,1
MOL00011132,MOL00011132_48,1
MOL00011276,MOL00011276_54,1
MOL00011138,MOL00011138_10,1
MOL00010803,MOL00010803_1,1
MOL00011219,MOL00011219_13,1
MOL00011534,MOL00011534_1,1
MOL00011311,MOL00011311_6,1
MOL00011394,MOL00011394_39,1
MOL00011815,MOL00011815_13,1
MOL00011346,MOL00011346_1,1
MOL00011657,MOL00011657_18,1
MOL00011729,MOL00011729_51,1
MOL00011539,MOL00011539_38,1
MOL00011881,MOL00011881_4,1
MOL00011654,MOL00011654_53,1
MOL00011187,MOL00011187_5,1
MOL00011393,MOL00011393_26,1
MOL00011914,MOL00011914_5,1
MOL00012061,MOL00012061_39,1
MOL00012337,MOL00012337_43,1
MOL00012066,MOL00012066_16,1
MOL00012282,MOL00012282_61,1
MOL00012039,MOL00012039_2,1
MOL00012189,MOL00012189_5,1
MOL00012011,MOL00012011_44,1
