fingerprint,type,ba_test_1,ba_test_2,diff%
RDFFingerprint,3D,0.665,0.5681818181818181,-15.0
USRCATFingerprint,3D,0.7,0.6083333333333334,-13.0
WHIMFingerprint,3D,0.63,0.5630808080808081,-11.0
ElectroShapeFingerprint,3D,0.6399999999999999,0.583030303030303,-9.0
MORSEFingerprint,3D,0.66,0.6281313131313131,-5.0
ECFPFingerprint,2D,0.77,0.7489393939393939,-3.0
PhysiochemicalPropertiesFingerprint,2D,0.615,0.5981818181818181,-3.0
AvalonFingerprint,2D,0.6950000000000001,0.6783333333333332,-2.0
LingoFingerprint,2D,0.735,0.7235353535353535,-2.0
TopologicalTorsionFingerprint,2D,0.72,0.7087878787878787,-2.0
RDKitFingerprint,2D,0.69,0.6733333333333333,-2.0
EStateFingerprint,2D,0.705,0.6934848484848485,-2.0
GhoseCrippenFingerprint,2D,0.71,0.6936363636363636,-2.0
MACCSFingerprint,2D,0.735,0.7237373737373738,-2.0
MQNsFingerprint,2D,0.69,0.6834343434343435,-1.0
MHFPFingerprint,2D,0.675,0.6681818181818182,-1.0
VSAFingerprint,3D,0.665,0.6582828282828284,-1.0
AtomPairFingerprint,2D,0.7250000000000001,0.7234848484848485,-0.0
SECFPFingerprint,2D,0.72,0.7187373737373737,-0.0
PatternFingerprint,2D,0.685,0.6883838383838383,0.0
LaggnerFingerprint,2D,0.755,0.7539393939393939,-0.0
AutocorrFingerprint,2D,0.69,0.6933838383838384,0.0
ERGFingerprint,2D,0.7250000000000001,0.7284848484848485,0.0
LayeredFingerprint,2D,0.7,0.6984343434343434,-0.0
PharmacophoreFingerprint,3D,0.685,0.6935858585858585,1.0
PubChemFingerprint,2D,0.72,0.7238383838383838,1.0
GETAWAYFingerprint,3D,0.66,0.6683333333333333,1.0
KlekotaRothFingerprint,2D,0.755,0.7640909090909092,1.0
USRFingerprint,3D,0.5700000000000001,0.5832828282828283,2.0
MordredFingerprint,2D,0.72,0.743989898989899,3.0
E3FPFingerprint,3D,0.71,0.7488888888888889,5.0
MAPFingerprint,2D,0.505,0.5624242424242425,11.0
