fingerprint,balanced_accuracy
AtomPairFingerprint,0.73
AutocorrFingerprint,0.705
AvalonFingerprint,0.6799999999999999
E3FPFingerprint,0.71
ECFPFingerprint,0.7849999999999999
ElectroShapeFingerprint,0.615
ERGFingerprint,0.71
EStateFingerprint,0.71
GETAWAYFingerprint,0.635
GhoseCrippenFingerprint,0.7050000000000001
KlekotaRothFingerprint,0.7350000000000001
LaggnerFingerprint,0.75
LayeredFingerprint,0.72
LingoFingerprint,0.715
MACCSFingerprint,0.73
MAPFingerprint,0.605
MHFPFingerprint,0.68
MordredFingerprint,0.72
MORSEFingerprint,0.66
MQNsFingerprint,0.685
PatternFingerprint,0.69
PharmacophoreFingerprint,0.6950000000000001
PhysiochemicalPropertiesFingerprint,0.615
PubChemFingerprint,0.72
RDFFingerprint,0.6699999999999999
RDKitFingerprint,0.655
SECFPFingerprint,0.71
TopologicalTorsionFingerprint,0.7050000000000001
USRFingerprint,0.59
USRCATFingerprint,0.7
VSAFingerprint,0.675
WHIMFingerprint,0.63
MOE3D,0.65
