mol_id,act_mol,act_conf,AM1_dipole,AM1_E,AM1_Eele,AM1_HF,AM1_HOMO,AM1_IP,AM1_LUMO,ASA,ASA+,ASA-,ASA_H,ASA_P,CASA+,CASA-,DASA,DCASA,dens,dipole,dipoleX,dipoleY,dipoleZ,E,E_ang,E_ele,E_nb,E_oop,E_rele,E_rnb,E_rsol,E_rvdw,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FASA_P,FCASA+,FCASA-,glob,MNDO_dipole,MNDO_E,MNDO_Eele,MNDO_HF,MNDO_HOMO,MNDO_IP,MNDO_LUMO,npr1,npr2,PM3_dipole,PM3_E,PM3_Eele,PM3_HF,PM3_HOMO,PM3_IP,PM3_LUMO,PM6_dipole,PM6_E,PM6_Eele,PM6_HF,PM6_HOMO,PM6_IP,PM6_LUMO,PM7_dipole,PM7_E,PM7_Eele,PM7_HF,PM7_HOMO,PM7_IP,PM7_LUMO,pmi,pmi1,pmi2,pmi3,pmiX,pmiY,pmiZ,rgyr,std_dim1,std_dim2,std_dim3,vol,VSA,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW5,vsurf_CW6,vsurf_CW7,vsurf_CW8,vsurf_D1,vsurf_D2,vsurf_D3,vsurf_D4,vsurf_D5,vsurf_D6,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EDmin3,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID2,vsurf_ID3,vsurf_ID4,vsurf_ID5,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_S,vsurf_V,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_W8,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp5,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8
MOL00000183,1,1,,,,,,,,539.52905,0,0,539.52905,0,0,0,0,0,1.3223714,0,0,0,0,102.21402,64.338264,-3.2577698,8.7871437,0.38428915,0,0,0,0,-11.335495,0,24.833618,29.672846,3.8706999,12.044913,0,0,1,0,0,0,0.0091530215,,,,,,,,0.10028648,0.91259891,,,,,,,,,,,,,,,,,,,,,,8071.2964,804.26025,7318.7041,8019.6284,7217.5083,346.08926,507.69879,4.5602732,3.7949669,1.4564478,0.36306989,293.5,313.15106,3.2478902,0.082177363,2.8800113,2.4554653,1.7292783,0.82841128,0.42670709,0.19420752,0.061913639,0.019094825,813.125,474.125,340.75,277.125,228.375,186.875,128.875,84.875,0.5,0.70710677,0.5,0.5,0.5,1,-2.6127505,-2.5814974,-2.5676773,-7.4018621,-7.1835036,-7.0679913,1.3040493,433.125,559.5,437.5,180.75,76.75,28.875,8.25,2.25,0.22523844,0.10419486,0.55382198,0.45857927,0.49785134,0.72151852,0.91782361,1.0592639,0.40542948,0.30686888,1.5659232,2.3841147,2.7476528,2.9245121,2.77421,2.5109031,4.6705151,4.6438255,1.3993515,491.12036,687.25,1422.75,890,487.625,180.75,76.75,28.875,8.25,2.25,989.625,330.5,50.125,0,0,0,0,0
MOL00000189,1,1,,,,,,,,546.05542,0,0,546.05542,0,0,0,0,0,1.2469976,0,0,0,0,-17.037931,11.610112,-58.760811,-46.004238,0.019227166,0,0,0,0,-25.227276,0,9.8047924,14.4305,7.5321755,12.75657,0,0,1,0,0,0,0.0086692292,,,,,,,,0.085945174,0.93251836,,,,,,,,,,,,,,,,,,,,,,8244.1006,702.05945,7617.4526,8168.689,7450.0947,656.38129,137.62448,5.0196981,4.7809143,1.3167289,0.44514471,262.375,303.24988,2.1593435,0.040860634,2.835026,2.39714,1.8609217,0.96596962,0.52397245,0.29942355,0.15254951,0.066606864,613.875,334.5,237.375,188.75,156.125,127.875,76.625,50,0.5,1,0.5,0.5,0.5,1,-2.2982049,-2.2972901,-2.2839999,-8.8643503,-8.8638096,-8.5087814,1.3678325,432.875,629.625,530.875,233.25,107,53.375,25.25,9,0.45076355,0.28278145,2.4367671,2.2762327,2.7580836,3.5956156,4.0876551,4.1461911,2.1574891,1.3626812,0.57821006,0.57423639,0.76794612,0.31503448,0.79388875,1.0846969,0.99156916,1.3967179,1.3141468,499.84906,656.875,1357,908.75,549.75,233.25,107,53.375,25.25,9,924.125,279.125,18.875,0,0,0,0,0
MOL00000097,1,1,,,,,,,,519.91962,0,0,519.91962,0,0,0,0,0,1.2393807,0,0,0,0,68.330894,52.405945,-12.296206,1.6903521,0.00014653079,0,0,0,0,-12.215283,0,9.620821,15.362874,4.613627,13.986558,0,0,1,0,0,0,4.0753747e-009,,,,,,,,0.089131817,0.91086817,,,,,,,,,,,,,,,,,,,,,,7658.4287,682.60968,6975.8188,7658.4287,6594.7007,449.79486,613.93317,4.7445641,4.4338341,1.3668528,0.00028305003,274.5,295.34705,2.1250889,0.091922939,2.9078751,2.5797963,2.0398922,0.75472772,0.34914491,0.16304725,0.069317192,0.025884612,795.875,475.375,336,265,209.125,167.375,129.75,98.25,4.0311289,0.5,3.5355339,0.5,0.70710677,0.5,-2.4567957,-2.4264779,-2.4256513,-7.1105008,-7.0550356,-6.9939322,1.3052615,391.625,553,462,159.5,62.875,24.125,10.375,3.5,0.18712798,0.091037735,0.50939423,0.43436873,0.30620828,0.31026715,0.2671034,0.33373073,0.49570695,0.4493607,0.26143882,0.47390032,0.68005919,1.0701776,1.9070474,3.1051862,4.2793651,5.2160172,1.3840104,481.75217,666.75,1409.625,937.875,505.125,159.5,62.875,24.125,10.375,3.5,1018,384.875,43.125,0,0,0,0,0
MOL00000110,1,1,,,,,,,,575.90961,0,0,575.90961,0,0,0,0,0,1.3429826,0,0,0,0,23.949772,15.101347,-29.098785,-11.139185,0.71831012,0,0,0,0,-20.326977,0,11.997745,21.941469,7.2715554,17.9596,0,0,1,0,0,0,0.020324795,,,,,,,,0.15181606,0.89451528,,,,,,,,,,,,,,,,,,,,,,8198.9521,1216.5504,7168.0356,8013.3184,6969.124,1030.4413,199.38722,4.4332862,4.1839314,1.4121624,0.5964824,310.625,340.72479,4.7145309,0.049626935,2.7657623,2.256995,1.7488849,1.0285902,0.59647888,0.28764525,0.11189466,0.02128741,785.5,439.375,321,266.375,213,173.5,99.375,62.25,6.3245554,0.5,6.5,0.5,0.70710677,1.118034,-2.7873054,-2.730902,-2.718437,-7.4469056,-7.3173671,-7.2892761,1.3381755,377.5,558.375,515.125,263.25,121.625,47.75,17.625,3.25,0.37889409,0.17925857,1.6407363,1.7242256,2.0778039,2.4633436,2.7350295,2.7907641,1.9204916,2.0574517,0.52820683,1.5751499,2.0826581,2.529768,2.7084012,2.7351058,2.7832742,4.3723769,1.405524,535.38751,752.5,1472.75,970,591.75,263.25,121.625,47.75,17.625,3.25,1095.25,411.625,76.625,0,0,0,0,0
MOL00000268,1,1,,,,,,,,615.92969,0,0,615.92969,0,0,0,0,0,1.2712255,0,0,0,0,42.898739,33.608231,-48.683201,-20.656042,0.3498784,0,0,0,0,-25.092428,0,18.051027,32.102295,11.545641,28.027161,0,0,1,0,0,0,0.046102315,,,,,,,,0.26802191,0.80581909,,,,,,,,,,,,,,,,,,,,,,8662.4307,2239.0542,6731.8105,8353.9971,6143.1733,379.27072,2139.9873,4.4458671,3.8225145,2.0789475,0.82074928,344.75,380.88251,3.266063,0.054242909,2.7350042,2.3049114,1.8567516,1.0209097,0.55854052,0.27792221,0.058291037,0.0076067438,879.625,500.375,361.625,280.875,227.125,173,108.125,74.5,0.86602539,0.70710677,1.118034,3.6400549,4.1231055,0.5,-3.0650985,-2.9532359,-2.9504278,-6.9501915,-6.7798171,-6.5330777,1.359416,426.375,593.875,551.625,279.5,122.125,44.5,9.875,1.5,0.33771172,0.15843347,0.80883211,0.73293996,1.0525808,1.4637446,1.8026508,1.8725938,0.40841001,0.67888516,0.75280911,1.5473527,1.7092766,1.809432,2.3999031,2.8377738,2.5391562,3.626142,1.4349509,585.03741,839.5,1619.625,1082.5,659.375,280,122.125,44.5,9.875,1.5,1193.25,488.625,107.75,0.5,0,0,0,0
MOL00000229,1,1,,,,,,,,683.37317,0,0,683.37317,0,0,0,0,0,1.3001702,0,0,0,0,134.45093,21.924036,58.002571,81.354919,0.13998489,0,0,0,0,-22.667038,0,18.696695,38.269173,12.33529,23.35235,0,0,1,0,0,0,0.016552242,,,,,,,,0.24449919,0.78128839,,,,,,,,,,,,,,,,,,,,,,12579.785,3036.594,9703.3281,12419.649,9292.7246,2858.0369,429.02432,5.2391033,4.5440545,2.293736,0.58461767,352.5,398.18835,1.1237578,0.041477285,2.7756386,2.5664163,2.1649966,1.1160743,0.56307214,0.24623719,0.11272753,0.055243134,895.125,507.375,342.625,256.125,195,150,109.25,74.75,8.8741198,6.3442888,6.745369,0.5,0.5,0.70710677,-2.3956246,-2.3854144,-2.3546119,-9.6283855,-9.4374371,-9.2200813,1.4539607,539.875,803.75,731.375,327.75,136.875,55.375,23.625,11.25,0.39948922,0.21620302,0.42910093,0.5070101,0.53558934,0.54757434,0.69731975,0.91605127,1.0609916,1.5467883,0.27762541,0.35831195,0.36094603,0.62430441,0.68526369,0.62855613,1.1989923,1.8889821,1.3646839,647.40265,883.5,1884,1342,822.25,327.75,136.875,55.375,23.625,11.25,1344.125,538.25,90.875,0,0,0,0,0
MOL00000223,1,1,,,,,,,,630.00189,0,0,630.00189,0,0,0,0,0,1.0813134,0,0,0,0,26.567968,41.185169,-51.760086,-43.012215,0.46636766,0,0,0,0,-30.433001,0,7.5994534,17.84024,20.329193,8.7478714,0,0,1,0,0,0,0.063479453,,,,,,,,0.22552612,0.8878057,,,,,,,,,,,,,,,,,,,,,,7270.7017,1551.7991,6108.8091,6880.7949,5506.5361,1307.4812,456.68411,4.480123,3.9673352,1.8081313,0.9995752,335,376.43192,2.7214763,0.072615035,2.6451263,1.941572,1.4280726,0.76975924,0.42555338,0.2078476,0.091802128,0.020668566,698,434.875,342.75,284,234.375,132.5,82.875,56.25,0.70710677,0.5,0.5,0.5,1.118034,0.70710677,-2.6369531,-2.5910337,-2.577709,-7.331131,-7.0240097,-6.7726145,1.3726598,446.625,564,461.125,206.25,91.875,39.375,14.5,3,0.26805252,0.13864437,0.42993981,0.45111224,0.71699405,1.0807828,1.3334435,0.50181365,1.0478698,1.9421593,1.0759695,1.7021561,1.831568,1.7870581,2.0181115,1.6476735,1.002447,1.5421276,1.3953928,569.55292,794.75,1358.125,864.5,494.25,206.25,91.875,39.375,14.5,3,911.5,300.5,33.125,0,0,0,0,0
MOL00000328,1,1,,,,,,,,703.42145,0,0,703.42145,0,0,0,0,0,1.1292682,0,0,0,0,18.598621,16.932898,-33.410961,-18.739855,0.18444954,0,0,0,0,-14.742171,0,8.7567816,15.087385,11.464348,14.671105,0,0,1,0,0,0,0.054885164,,,,,,,,0.1893364,0.89984053,,,,,,,,,,,,,,,,,,,,,,12329.17,2234.718,10620.725,11802.896,10083.2,1571.782,674.18793,5.1306829,4.6334705,1.8940026,1.0855103,414.75,448.7915,2.0397065,0.087288298,2.6203737,2.0258293,1.4560683,0.72697073,0.35877255,0.17329095,0.088166043,0.042946205,1001.125,576.875,432.625,363.5,298.375,214.125,122.375,71.25,3.8405728,2.0615528,1.8708287,0.5,0.86602539,0.70710677,-2.8863699,-2.877398,-2.8475864,-8.1484747,-8.0573463,-7.689199,1.3899381,414,556.875,495.125,216,88.125,39.875,17.25,7.625,0.20369835,0.10969739,0.30175897,0.33290818,0.38780713,0.46866706,0.57682407,0.6719659,1.0857691,1.977833,0.57852179,0.61654198,0.68642783,1.3493824,2.3980153,3.8727162,4.9366188,5.7680931,1.4674195,653.9541,959.625,1604.25,973.875,551.25,216,88.125,39.875,17.25,7.625,1190.25,417,56.125,0,0,0,0,0
MOL00000446,1,1,,,,,,,,672.3139,0,0,672.3139,0,0,0,0,0,1.1163386,0,0,0,0,67.652443,54.861176,-29.70237,-8.8823881,0.13628803,0,0,0,0,-19.771622,0,10.64263,13.221736,10.89474,20.819983,0,0,1,0,0,0,0.008740806,,,,,,,,0.1177083,0.89825737,,,,,,,,,,,,,,,,,,,,,,12910.829,1507.676,11505.401,12808.58,11221.027,279.75662,1410.0443,5.5861387,5.385077,1.6668326,0.50346315,370.625,397.98102,3.5992243,0.081560761,2.6850662,1.9475865,1.3796853,0.61969066,0.37115231,0.2111558,0.10921896,0.066048153,1019.125,589.875,452.375,379.625,317.875,236.125,137.375,98.875,0.5,0.5,1,12.825755,0.5,12.85496,-2.511939,-2.4949744,-2.490669,-8.9772739,-8.9197092,-8.6418743,1.4043286,369,493,423.75,185.375,91.5,44.375,22.5,11.875,0.20226581,0.11689167,1.3302764,1.0996708,1.1295841,1.2178762,1.3406073,1.804813,1.2691492,1.0316955,0.2434814,0.78748411,1.3927041,2.1859512,2.4911513,2.706003,3.13217,2.9688854,1.4007496,614.58167,860.875,1535.125,883.125,485.625,185.375,91.5,44.375,22.5,11.875,1166.125,390.125,61.875,0,0,0,0,0
MOL00000447,1,1,,,,,,,,655.94812,0,0,655.94812,0,0,0,0,0,1.1753385,0,0,0,0,-16.704594,23.231947,-83.590408,-70.292206,0.096601702,0,0,0,0,-18.36978,0,6.9343596,9.9641314,23.324709,13.298198,0,0,1,0,0,0,0.048033923,,,,,,,,0.22194295,0.84432369,,,,,,,,,,,,,,,,,,,,,,9966.791,2141.1167,8145.3169,9647.1494,5516.9873,3141.2019,1308.6021,4.8754444,4.0993772,2.067699,0.89844584,356.75,392.18475,3.0655205,0.1066504,2.5828249,1.9629661,1.5660024,0.68077815,0.2577295,0.10769849,0.047147866,0.018302396,817.5,460.875,345.625,281.875,225.75,137.25,70.25,42.625,0.70710677,1.8708287,1.2247449,6.9462218,7.5663729,0.70710677,-2.7531452,-2.7487884,-2.6960726,-7.4638448,-7.299211,-7.1685681,1.3998663,305.375,491.75,455.75,160.5,54.5,20.875,8.125,3,0.15768535,0.074057646,1.4279504,1.1759338,1.2244743,1.5840962,1.8638568,1.6427883,1.1285521,0.88243932,0.74183494,1.3031659,1.3426841,1.1679305,2.3129482,3.555027,3.9186909,3.2388434,1.3927948,601.84741,838.25,1341.25,847.625,503.625,160.5,54.5,20.875,8.125,3,1035.875,355.875,47.875,0,0,0,0,0
