0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
0.009,10.731,0.291,16.909,2.287,6.931,3.385,4.728,8.971,4.802,8.496,4.503,4.159,4.389,0.39,5.43,1.517,3.773,1.871,0.705,2.942,0.0,1.701,0.967,0.0,1.149,0.0,0.0,0.0,0.0,0.012,11.285,1.908,18.161,4.46,8.013,4.602,7.361,11.468,13.193,9.405,10.62,4.59,17.784,0.454,6.38,2.093,4.296,3.904,1.024,9.018,0.001,2.063,6.43,0.0,9.58,0.0,0.0,0.0,0.0,0.006,10.154,0.372,15.277,1.898,5.72,2.726,3.549,7.697,4.039,7.551,4.075,3.775,4.625,0.297,5.121,1.391,3.19,1.924,0.414,3.044,0.0,1.269,1.245,0.0,1.088,0.0,0.0,0.0,0.0,0.012,11.268,0.341,18.119,2.759,7.969,4.12,6.014,10.453,5.867,9.385,5.431,4.583,4.983,0.452,5.728,1.693,4.282,1.985,1.015,3.256,0.001,2.053,1.132,0.0,1.678,0.0,0.0,0.0,0.0,0.004,9.833,0.498,14.292,1.694,4.935,2.19,2.806,6.619,3.501,6.84,4.042,3.45,5.166,0.246,4.947,1.287,2.777,2.036,0.247,3.4,0.0,0.982,1.675,0.0,1.066,0.0,0.0,0.0,0.0,0.011,11.431,0.306,18.758,2.777,8.287,3.955,6.046,10.02,5.862,9.384,5.332,4.481,4.867,0.502,5.799,1.635,4.357,1.923,1.068,3.235,0.001,2.157,1.014,0.0,1.504,0.0,0.0,0.0,0.0,0.101,62.409,1.327,146.798,19.991,64.541,24.767,31.702,62.25,55.911,61.117,31.048,26.004,39.586,7.35,48.529,18.401,19.21,26.156,4.958,36.364,0.002,9.911,10.632,0.0,6.154,0.0,0.0,0.0,0.0
0.011,8.868,0.121,13.762,5.367,9.59,4.316,7.47,11.613,9.279,8.214,4.199,4.358,6.939,1.262,6.421,1.503,1.084,0.953,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,9.479,0.302,15.222,7.164,12.135,5.287,9.3,15.705,11.84,10.218,4.646,5.63,8.829,1.827,8.84,2.211,1.947,1.737,1.218,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,8.177,0.051,12.124,4.051,7.21,3.246,6.061,8.67,7.026,6.569,3.627,3.514,5.278,0.916,4.796,1.061,0.562,0.48,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,9.413,0.255,15.107,6.908,11.926,5.235,9.111,15.199,11.541,10.122,4.625,5.402,8.557,1.721,8.376,2.059,1.783,1.59,1.119,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,7.743,0.013,11.091,2.889,5.377,2.558,5.192,6.431,5.481,5.458,3.307,2.741,4.242,0.713,3.603,0.659,0.241,0.21,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,9.748,0.289,15.773,6.953,12.166,5.546,9.524,15.268,12.357,10.087,4.893,5.491,9.432,1.925,9.084,2.182,2.079,1.877,1.21,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,43.872,7.701,96.801,101.259,158.645,45.326,108.863,162.354,110.193,90.149,42.104,37.698,86.041,16.556,111.9,16.415,25.936,37.21,23.312,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,10.369,0.315,20.884,1.966,9.897,3.36,4.448,6.803,4.647,8.341,3.985,2.502,1.538,4.451,4.07,4.885,2.387,4.149,2.566,3.163,3.14,0.292,3.67,0.191,2.334,0.0,0.984,0.001,0.0,0.016,11.291,0.344,23.098,2.297,11.477,4.327,4.531,8.076,6.055,9.633,4.453,2.764,2.148,5.32,5.168,5.489,3.09,5.328,3.223,3.89,3.862,0.341,4.908,0.254,3.8,0.0,1.744,0.001,0.0,0.007,9.371,0.288,18.348,1.574,8.383,2.445,4.342,5.468,3.337,7.138,3.411,2.321,1.067,3.569,3.156,4.386,1.74,3.125,2.018,2.538,2.328,0.228,2.669,0.138,1.283,0.0,0.503,0.001,0.0,0.016,11.269,0.344,23.035,2.288,11.447,4.309,4.528,8.037,6.019,9.602,4.439,2.759,2.136,5.301,5.14,5.48,3.077,5.304,3.208,3.879,3.844,0.34,4.883,0.253,3.771,0.0,1.732,0.001,0.0,0.004,8.644,0.273,16.758,1.311,7.141,1.686,4.276,4.663,2.492,6.313,3.04,2.209,0.762,2.892,2.642,3.947,1.206,2.361,1.662,1.968,1.757,0.189,1.953,0.089,0.636,0.0,0.204,0.0,0.0,0.016,11.34,0.347,23.644,2.375,11.187,4.13,4.566,8.472,6.158,9.595,4.606,2.678,2.001,5.264,5.188,5.264,2.951,5.137,3.171,3.621,3.955,0.365,4.656,0.231,3.438,0.0,1.438,0.001,0.0,0.146,56.17,2.131,191.324,20.981,126.922,34.027,16.652,57.582,75.632,84.628,36.143,18.756,22.511,58.604,46.47,62.452,20.511,62.429,40.577,35.385,23.814,1.197,46.225,2.211,35.589,0.0,24.04,0.007,0.0
0.01,10.382,0.006,21.504,6.258,3.654,8.318,6.256,10.605,6.204,5.631,10.195,4.825,3.542,2.056,6.392,5.244,3.732,2.614,0.671,3.137,1.178,0.07,1.686,3.16,1.807,0.003,0.0,0.0,0.0,0.013,14.475,0.017,25.317,11.862,4.752,19.357,13.668,16.151,23.556,11.432,18.394,10.761,4.989,2.238,10.478,7.725,5.817,3.339,0.93,5.676,1.478,0.093,4.5,4.47,2.253,0.004,0.0,0.0,0.0,0.007,9.796,0.007,18.424,4.789,2.76,8.235,6.479,8.864,5.997,5.137,8.154,4.304,2.595,2.056,6.064,4.465,2.92,1.987,0.673,2.61,0.882,0.05,2.001,2.448,1.331,0.002,0.0,0.0,0.0,0.013,11.288,0.007,25.007,8.44,4.51,10.316,7.319,13.155,8.504,6.789,13.257,6.404,4.792,2.085,7.403,6.41,4.978,3.325,0.695,4.047,1.472,0.093,1.815,3.956,2.243,0.004,0.0,0.0,0.0,0.004,9.436,0.009,16.532,3.576,2.102,9.078,7.081,7.301,6.302,5.045,6.645,4.251,1.868,2.064,6.058,4.065,2.379,1.526,0.709,2.573,0.651,0.032,2.777,1.973,0.979,0.001,0.0,0.0,0.0,0.012,10.961,0.006,24.879,7.884,4.537,9.541,6.875,12.236,7.455,6.563,12.787,5.874,4.37,2.078,7.211,6.209,4.464,3.192,0.682,3.792,1.45,0.084,1.551,3.809,2.26,0.004,0.0,0.0,0.0,0.115,62.157,0.021,196.483,115.805,25.96,86.455,56.942,122.084,67.348,27.656,154.974,79.833,69.361,14.893,93.388,82.943,28.166,24.428,8.882,50.503,17.051,1.951,6.187,57.91,28.349,0.091,0.0,0.0,0.0
0.018,13.022,0.469,27.139,7.266,4.57,7.977,11.119,13.822,9.39,11.461,19.254,6.73,11.579,4.646,9.613,5.649,2.619,3.801,5.425,3.793,2.536,0.764,1.798,0.017,0.397,0.0,0.0,0.0,0.0,0.027,13.934,0.637,29.7,9.522,5.84,10.6,14.365,17.018,12.044,14.377,23.225,8.277,13.719,5.963,11.341,7.432,3.244,4.337,7.058,4.809,3.199,1.171,2.295,0.023,0.529,0.0,0.0,0.0,0.0,0.01,11.79,0.282,23.92,5.055,3.381,5.333,7.889,10.89,6.76,8.717,15.166,5.209,9.548,3.291,7.766,4.121,2.055,3.274,3.955,2.974,1.976,0.427,1.311,0.012,0.284,0.0,0.0,0.0,0.0,0.026,13.9,0.631,29.615,9.463,5.813,10.527,14.284,16.946,11.975,14.299,23.107,8.236,13.671,5.926,11.294,7.394,3.227,4.321,7.021,4.789,3.186,1.161,2.286,0.023,0.527,0.0,0.0,0.0,0.0,0.006,11.109,0.196,22.039,3.646,2.495,3.701,5.749,8.792,5.081,7.094,12.865,4.257,8.107,2.442,6.584,3.098,1.739,2.99,2.933,2.401,1.547,0.23,0.919,0.008,0.181,0.0,0.0,0.0,0.0,0.026,14.535,0.743,30.878,9.813,5.716,11.119,14.525,16.788,12.314,14.665,24.194,8.448,13.628,6.204,11.634,7.187,3.31,4.489,6.941,4.615,3.063,1.168,2.223,0.021,0.48,0.0,0.0,0.0,0.0,0.237,71.03,7.387,184.833,82.356,72.338,92.351,91.528,144.537,112.025,134.742,237.254,90.328,122.679,65.462,123.235,52.551,41.227,41.965,93.09,49.25,46.673,10.53,34.657,0.468,10.985,0.002,0.0,0.0,0.0
0.021,10.707,0.049,21.195,7.369,6.946,9.018,5.547,16.412,6.474,8.768,10.206,5.877,8.374,7.458,8.178,10.983,4.477,4.423,4.17,3.831,2.921,4.187,2.056,0.898,2.664,1.051,2.21,1.615,0.0,0.031,11.619,0.086,23.633,9.701,8.812,12.33,8.475,20.902,7.475,10.095,15.93,9.33,12.176,9.765,9.84,17.142,5.867,5.009,7.238,5.152,3.715,6.581,2.668,1.25,3.389,1.4,2.944,2.421,0.0,0.013,9.607,0.025,18.276,5.588,5.286,6.683,4.481,12.911,5.651,7.215,8.93,4.152,7.481,5.614,6.279,9.121,3.558,3.763,2.821,2.681,2.138,3.676,1.549,0.645,1.946,0.751,1.58,0.891,0.0,0.031,11.501,0.085,23.297,9.439,8.772,11.202,6.776,19.883,7.263,10.051,11.772,7.907,9.435,9.123,9.77,13.342,5.643,4.985,5.957,5.117,3.695,4.891,2.501,1.195,3.374,1.394,2.933,2.397,0.0,0.007,9.039,0.011,16.618,4.292,4.06,5.395,3.92,10.762,5.122,6.348,8.93,3.166,7.507,4.766,5.225,8.391,2.957,3.416,2.345,2.024,1.597,3.417,1.206,0.415,1.375,0.478,1.004,0.512,0.0,0.03,12.113,0.071,24.62,9.102,8.571,11.843,6.72,20.34,7.364,10.676,11.919,7.713,9.582,9.862,10.556,13.204,5.408,5.308,5.962,5.219,3.79,4.676,2.58,1.084,3.3,1.271,2.673,2.572,0.0,0.279,65.959,2.264,162.76,71.97,86.259,88.989,78.874,154.022,46.518,93.592,103.086,96.762,85.77,54.967,96.537,141.718,78.929,39.439,78.947,71.853,41.137,44.883,29.662,25.09,51.376,16.795,38.234,20.124,0.001
0.01,13.804,0.443,19.84,6.434,9.259,5.083,6.362,5.478,4.248,7.044,7.064,6.921,3.249,3.551,4.569,5.559,6.795,2.934,1.514,3.252,6.384,1.016,0.922,1.843,0.0,0.686,0.049,0.0,0.0,0.014,15.042,0.515,21.824,7.813,10.566,6.272,6.964,5.955,4.484,7.439,8.176,8.305,3.805,4.378,5.775,6.353,7.859,3.266,1.611,4.026,7.552,1.016,1.235,2.0,0.0,0.914,0.049,0.0,0.0,0.007,12.332,0.339,17.74,5.098,7.722,3.879,5.696,4.843,4.056,6.474,5.915,5.381,2.63,2.668,3.595,4.777,5.713,2.511,1.388,2.419,5.131,1.016,0.653,1.615,0.0,0.49,0.049,0.0,0.0,0.014,15.006,0.513,21.776,7.78,10.527,6.237,6.944,5.938,4.481,7.424,8.149,8.271,3.791,4.353,5.751,6.333,7.833,3.256,1.608,4.004,7.515,1.016,1.23,1.994,0.0,0.91,0.049,0.0,0.0,0.005,11.361,0.282,16.231,4.192,6.754,3.157,5.338,4.463,3.893,6.161,5.103,4.287,2.191,2.182,2.941,4.252,4.982,2.25,1.311,1.901,4.442,1.016,0.414,1.489,0.0,0.312,0.049,0.0,0.0,0.012,15.372,0.569,21.95,7.834,10.989,6.537,7.241,6.201,4.399,7.729,8.217,8.452,3.863,4.629,5.515,6.39,7.928,3.409,1.657,4.186,7.962,1.016,1.129,2.118,0.0,0.829,0.049,0.0,0.0,0.119,64.323,3.636,116.78,58.513,91.501,50.559,41.824,28.023,20.232,30.763,59.494,54.744,26.792,23.348,43.1,29.159,43.887,7.916,4.555,22.078,45.607,1.021,7.784,3.39,0.0,4.8,0.049,0.0,0.0
0.016,16.347,0.015,31.755,7.14,6.689,9.096,12.368,14.877,7.258,8.775,10.438,9.695,9.166,8.805,9.108,8.335,13.821,5.513,9.061,3.822,4.937,3.405,5.063,1.504,0.861,0.381,0.112,0.0,0.0,0.022,20.86,0.038,34.927,8.899,8.14,12.469,16.691,18.102,8.94,11.915,12.453,14.587,10.814,9.77,11.212,10.312,17.503,7.551,11.014,5.921,5.605,3.816,5.904,1.506,0.861,0.381,0.112,0.0,0.0,0.012,15.309,0.016,28.619,5.511,5.295,8.041,10.338,13.164,5.804,7.767,8.291,8.594,7.578,8.203,7.881,6.741,12.588,4.287,6.966,3.582,4.545,3.057,4.298,1.503,0.86,0.381,0.112,0.0,0.0,0.021,17.539,0.018,34.812,8.798,8.103,10.569,15.174,16.714,8.89,10.041,12.395,11.309,10.777,9.622,10.62,10.255,15.189,6.91,10.964,4.356,5.417,3.807,5.89,1.506,0.861,0.381,0.112,0.0,0.0,0.007,14.719,0.021,26.769,4.334,4.178,7.623,9.156,12.127,4.636,7.086,6.904,8.296,6.444,7.737,6.866,5.583,12.322,3.537,5.479,3.666,4.224,2.82,3.637,1.502,0.86,0.381,0.112,0.0,0.0,0.02,17.489,0.016,35.315,8.813,7.913,10.218,14.298,16.542,8.538,9.652,12.785,10.986,10.748,9.307,10.029,9.822,15.514,6.784,11.193,4.139,5.235,3.772,5.674,1.506,0.861,0.381,0.112,0.0,0.0,0.189,92.065,0.115,301.54,96.401,83.44,62.757,201.142,166.403,120.521,117.993,130.796,111.754,106.411,98.143,107.579,117.695,102.625,84.914,127.716,45.365,60.431,39.213,72.311,23.099,4.461,1.523,0.448,0.0,0.0
0.005,14.001,0.027,22.541,4.322,3.741,3.97,6.952,13.933,8.577,9.37,10.826,7.304,9.472,4.872,5.175,9.832,7.101,4.179,4.523,0.627,10.754,1.098,3.102,1.507,0.476,2.508,0.977,0.0,0.0,0.006,14.933,0.032,24.571,5.246,4.49,7.944,10.444,17.629,9.548,10.424,13.45,10.169,11.488,6.124,7.174,11.753,8.01,6.814,6.415,0.654,13.782,1.259,3.257,1.607,0.476,2.515,0.977,0.0,0.0,0.003,12.738,0.021,19.717,3.225,2.89,3.743,6.389,12.233,7.534,8.124,9.874,6.375,8.992,3.683,4.926,8.284,5.881,3.346,3.304,0.599,9.093,0.884,2.878,1.362,0.476,2.497,0.977,0.0,0.0,0.006,14.883,0.031,24.46,5.199,4.464,4.756,7.878,15.629,9.439,10.389,11.803,8.316,10.148,6.089,5.703,11.277,7.969,5.302,5.591,0.648,12.184,1.252,3.251,1.603,0.476,2.515,0.977,0.0,0.0,0.002,12.078,0.018,18.182,2.588,2.426,3.785,6.182,11.337,6.921,7.391,9.471,5.88,8.725,3.02,4.836,7.31,5.259,2.876,2.726,0.583,8.295,0.775,2.754,1.283,0.476,2.491,0.977,0.0,0.0,0.005,15.625,0.034,26.001,5.667,4.797,4.714,7.965,16.292,9.855,10.896,12.303,8.625,10.152,6.324,5.675,11.661,8.714,5.296,6.348,0.663,13.068,1.385,3.372,1.681,0.476,2.521,0.977,0.0,0.0,0.052,74.835,0.398,156.271,47.97,64.32,32.93,65.72,126.589,107.347,76.268,96.453,70.819,86.679,80.114,29.407,118.373,72.945,72.016,39.599,3.03,99.907,5.826,8.689,4.585,1.904,9.987,3.908,0.0,0.0
0.0,14.938,0.176,20.01,5.885,4.012,3.819,10.018,8.582,4.965,7.51,11.405,6.303,5.152,4.35,6.897,4.925,2.601,5.522,4.445,5.504,1.855,3.082,4.318,0.815,0.656,0.001,0.219,0.991,0.0,0.0,20.048,0.443,22.637,7.429,4.87,7.205,12.962,10.822,5.47,10.429,15.233,10.025,6.915,5.004,8.608,5.758,5.391,6.425,5.276,10.361,5.421,4.675,7.849,0.893,0.765,0.004,0.295,0.992,0.0,0.0,13.336,0.084,17.42,4.447,3.226,3.552,8.336,6.592,4.337,6.588,8.663,4.936,3.935,3.821,5.975,4.222,2.343,4.93,4.113,3.962,1.377,2.191,3.54,0.781,0.498,0.002,0.158,0.991,0.0,0.0,16.617,0.36,22.481,7.291,4.738,4.579,11.923,10.568,5.431,8.472,14.595,7.917,6.61,4.964,8.048,5.631,3.31,6.263,4.731,7.668,2.717,4.46,5.927,0.856,0.761,0.001,0.289,0.992,0.0,0.0,12.367,0.037,15.788,3.41,2.669,3.932,7.41,5.075,3.982,6.161,6.606,4.276,2.854,3.5,5.224,3.712,2.448,4.382,3.985,2.845,0.91,1.574,3.363,0.759,0.411,0.002,0.103,0.991,0.0,0.0,16.812,0.404,23.034,7.593,5.07,4.594,12.723,10.966,5.767,8.781,15.442,8.447,6.773,5.017,8.103,5.883,3.227,6.317,4.855,7.419,2.532,4.274,5.573,0.848,0.846,0.001,0.264,0.992,0.0,0.0,75.462,10.487,176.018,80.828,56.653,36.146,94.369,95.999,34.236,46.372,109.781,77.926,63.747,33.279,103.642,50.987,36.675,43.739,22.308,83.038,14.0,73.818,83.7,2.031,1.338,0.001,1.514,0.994,0.0
