0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
14.402,2.121,0.132,0.865,0.127,0.177,0.177,0.177,0.498,0.418,0.148,19.94,1.95,0.135,0.905,0.089,0.177,0.177,0.177,0.963,0.342,0.133,14.706,1.948,0.111,0.877,0.116,0.177,0.177,0.177,0.52,0.353,0.084,14.673,2.264,0.149,0.859,0.132,0.177,0.177,0.177,0.517,0.475,0.223,15.262,1.774,0.086,0.891,0.104,0.177,0.177,0.18,0.561,0.293,0.042,14.517,2.223,0.143,0.86,0.132,0.177,0.18,0.177,0.506,0.459,0.201,14.169,2.712,0.077,0.836,0.16,0.177,0.177,0.177,0.483,0.688,0.034,16.655,22.025,16.766,17.086,17.121,16.883,16.959,32.731,41.827,30.499,35.74,28.538,34.673,39.734,0.177,0.177,0.797,0.858,0.816,0.788,0.837,0.79,0.753,0.355,0.479,0.319,0.405,0.298,0.388,0.402,53.415,69.096,50.439,57.779,47.993,56.177,59.661
11.054,2.741,0.7,0.763,0.189,0.179,0.179,0.179,0.579,0.517,0.363,11.738,2.663,0.761,0.774,0.176,0.179,0.179,0.182,0.649,0.487,0.484,10.615,2.818,0.643,0.754,0.2,0.179,0.179,0.182,0.535,0.546,0.273,11.539,2.688,0.751,0.77,0.179,0.179,0.182,0.179,0.628,0.497,0.463,10.115,2.886,0.559,0.746,0.213,0.179,0.179,0.179,0.49,0.573,0.175,11.77,2.619,0.749,0.778,0.173,0.179,0.179,0.179,0.654,0.472,0.46,12.931,2.605,0.833,0.79,0.159,0.179,0.179,0.179,0.782,0.439,0.603,14.495,15.161,14.077,14.979,13.56,15.138,16.369,39.951,42.207,38.559,41.705,36.456,41.598,46.623,0.179,0.18,0.644,0.661,0.631,0.656,0.619,0.666,0.685,0.486,0.54,0.452,0.529,0.413,0.529,0.608,75.646,81.14,71.882,79.976,66.335,79.818,91.05
19.638,1.861,0.01,0.913,0.087,0.175,0.175,0.209,0.563,0.435,0.087,20.484,1.998,0.012,0.911,0.089,0.175,0.175,0.217,0.613,0.502,0.13,18.87,1.711,0.008,0.917,0.083,0.175,0.178,0.185,0.52,0.364,0.054,20.476,1.996,0.012,0.911,0.089,0.175,0.175,0.226,0.612,0.501,0.129,17.955,1.549,0.006,0.92,0.079,0.175,0.175,0.236,0.472,0.293,0.026,20.02,1.954,0.011,0.911,0.089,0.175,0.175,0.202,0.585,0.48,0.108,21.189,2.451,0.021,0.896,0.104,0.175,0.175,0.202,0.658,0.706,0.408,21.509,22.494,20.589,22.485,19.51,21.985,23.661,36.769,41.208,32.452,41.154,27.919,39.358,52.442,0.186,0.188,0.869,0.866,0.875,0.866,0.88,0.866,0.843,0.362,0.415,0.313,0.414,0.264,0.391,0.591,58.651,64.207,53.303,64.142,47.588,61.785,77.202
17.514,2.009,0.352,0.881,0.101,0.174,0.174,0.174,0.542,0.442,0.273,17.095,2.479,0.441,0.854,0.124,0.174,0.174,0.174,0.517,0.693,0.455,17.334,1.95,0.34,0.883,0.099,0.174,0.174,0.174,0.53,0.416,0.275,17.502,2.156,0.384,0.873,0.108,0.174,0.174,0.174,0.542,0.51,0.332,17.38,1.888,0.328,0.887,0.096,0.174,0.174,0.174,0.533,0.391,0.26,17.493,2.09,0.379,0.876,0.105,0.176,0.174,0.174,0.541,0.479,0.321,18.972,2.217,0.349,0.881,0.103,0.174,0.176,0.174,0.636,0.528,0.216,19.874,20.014,19.625,20.042,19.596,19.962,21.538,42.044,50.999,40.374,45.276,39.134,43.981,49.455,0.174,0.174,0.822,0.781,0.825,0.81,0.83,0.814,0.821,0.419,0.555,0.407,0.461,0.395,0.447,0.46,74.284,89.682,71.508,79.792,69.488,77.793,85.667
14.613,4.322,0.672,0.745,0.22,0.165,0.165,0.165,0.476,0.368,0.31,14.677,4.405,0.703,0.742,0.223,0.165,0.165,0.165,0.48,0.379,0.336,14.775,4.08,0.645,0.758,0.209,0.165,0.165,0.165,0.488,0.329,0.288,14.682,4.401,0.703,0.742,0.222,0.165,0.167,0.165,0.481,0.378,0.336,14.803,3.89,0.605,0.767,0.202,0.165,0.165,0.165,0.495,0.297,0.254,14.373,4.544,0.679,0.733,0.232,0.167,0.165,0.165,0.461,0.402,0.31,16.826,4.855,0.738,0.751,0.217,0.165,0.165,0.167,0.633,0.458,0.364,19.608,19.785,19.5,19.786,19.298,19.595,22.419,75.886,78.068,72.44,78.023,68.89,78.142,97.69,0.165,0.165,0.618,0.613,0.637,0.613,0.651,0.6,0.626,0.384,0.398,0.368,0.398,0.349,0.391,0.485,137.949,143.302,130.8,143.22,123.017,142.054,180.407
21.03,5.107,0.277,0.796,0.193,0.165,0.165,0.165,0.464,0.272,0.312,21.195,6.135,0.285,0.768,0.222,0.165,0.165,0.165,0.471,0.391,0.332,20.137,4.988,0.265,0.793,0.196,0.165,0.165,0.165,0.425,0.259,0.288,21.914,5.266,0.292,0.798,0.192,0.165,0.165,0.165,0.504,0.289,0.346,18.817,5.193,0.244,0.776,0.214,0.167,0.165,0.169,0.371,0.28,0.244,21.348,5.319,0.277,0.792,0.197,0.165,0.165,0.165,0.478,0.295,0.313,26.821,4.946,0.36,0.835,0.154,0.165,0.165,0.165,0.754,0.255,0.533,26.415,27.615,25.39,27.472,24.255,26.945,32.128,114.643,137.816,107.106,123.33,103.585,120.95,144.1,0.165,0.165,0.694,0.651,0.69,0.697,0.664,0.688,0.752,0.349,0.398,0.324,0.38,0.298,0.362,0.514,170.78,202.437,159.134,184.45,151.704,179.393,224.011
17.836,1.968,1.145,0.851,0.094,0.172,0.172,0.174,0.591,0.264,0.389,18.044,1.965,1.158,0.852,0.093,0.172,0.172,0.172,0.605,0.269,0.398,17.562,1.976,1.129,0.85,0.096,0.174,0.172,0.172,0.573,0.256,0.372,18.039,1.965,1.158,0.852,0.093,0.172,0.172,0.172,0.605,0.268,0.398,17.336,1.986,1.109,0.849,0.097,0.172,0.172,0.172,0.559,0.256,0.354,18.07,1.97,1.145,0.853,0.093,0.172,0.172,0.172,0.607,0.283,0.387,17.58,1.668,1.059,0.866,0.082,0.172,0.172,0.172,0.574,0.271,0.228,20.949,21.166,20.667,21.161,20.43,21.186,20.307,57.775,58.617,56.757,58.6,55.842,58.554,49.706,0.173,0.172,0.777,0.779,0.775,0.779,0.773,0.779,0.799,0.415,0.424,0.401,0.424,0.39,0.426,0.358,118.911,120.827,116.596,120.792,114.432,120.518,101.065
20.569,2.689,1.714,0.824,0.108,0.163,0.163,0.163,0.659,0.36,0.43,20.167,2.803,1.818,0.814,0.113,0.163,0.163,0.163,0.646,0.353,0.466,20.836,2.64,1.62,0.83,0.105,0.163,0.163,0.163,0.672,0.351,0.383,20.333,2.746,1.823,0.817,0.11,0.163,0.163,0.163,0.65,0.361,0.485,21.016,2.59,1.52,0.836,0.103,0.163,0.163,0.163,0.682,0.335,0.335,20.346,2.701,1.765,0.82,0.109,0.163,0.163,0.163,0.649,0.354,0.456,20.79,2.677,2.173,0.811,0.104,0.163,0.163,0.163,0.689,0.364,0.653,24.971,24.787,25.096,24.901,25.126,24.812,25.64,95.167,98.269,93.032,97.891,90.311,95.63,106.65,0.163,0.163,0.736,0.72,0.745,0.725,0.755,0.73,0.716,0.483,0.488,0.469,0.498,0.451,0.487,0.569,214.925,225.787,207.227,224.546,198.169,217.426,253.227
20.228,4.377,0.082,0.819,0.177,0.168,0.168,0.17,0.583,0.487,0.348,19.465,4.955,0.092,0.794,0.202,0.168,0.168,0.17,0.542,0.653,0.431,20.25,4.451,0.081,0.817,0.18,0.168,0.17,0.17,0.585,0.516,0.336,20.063,4.451,0.085,0.816,0.181,0.168,0.168,0.176,0.574,0.498,0.385,20.252,4.513,0.08,0.815,0.182,0.168,0.168,0.17,0.587,0.541,0.329,20.139,4.362,0.084,0.819,0.177,0.168,0.168,0.176,0.578,0.476,0.368,17.822,5.189,0.108,0.771,0.224,0.168,0.168,0.168,0.457,0.734,0.613,24.687,24.512,24.782,24.6,24.844,24.585,23.119,90.549,98.698,92.131,91.393,93.363,89.905,94.963,0.169,0.169,0.729,0.691,0.726,0.723,0.723,0.729,0.656,0.473,0.542,0.479,0.486,0.485,0.474,0.601,122.485,132.082,124.174,123.622,125.492,121.858,128.098
19.656,3.593,0.722,0.82,0.15,0.169,0.169,0.169,0.526,0.41,0.244,21.409,3.737,0.686,0.829,0.145,0.169,0.169,0.169,0.627,0.454,0.215,19.882,3.374,0.727,0.829,0.141,0.169,0.169,0.169,0.537,0.351,0.249,19.934,3.83,0.716,0.814,0.156,0.169,0.169,0.169,0.543,0.476,0.237,20.341,3.037,0.717,0.844,0.126,0.171,0.169,0.169,0.564,0.275,0.241,19.198,3.875,0.712,0.807,0.163,0.169,0.169,0.169,0.503,0.487,0.238,20.419,3.988,0.484,0.82,0.16,0.169,0.169,0.169,0.613,0.426,0.083,23.971,25.833,23.983,24.481,24.095,23.785,24.891,87.408,97.261,83.988,93.372,78.529,90.825,93.256,0.169,0.169,0.73,0.743,0.744,0.721,0.766,0.711,0.73,0.393,0.432,0.379,0.419,0.36,0.41,0.374,162.357,177.983,156.753,172.525,146.899,167.583,157.574
