fingerprint,balanced_accuracy_test_2
AtomPairFingerprint,0.7234848484848485
AutocorrFingerprint,0.6933838383838384
AvalonFingerprint,0.6783333333333332
E3FPFingerprint,0.7488888888888889
ECFPFingerprint,0.7489393939393939
ElectroShapeFingerprint,0.583030303030303
ERGFingerprint,0.7284848484848485
EStateFingerprint,0.6934848484848485
GETAWAYFingerprint,0.6683333333333333
GhoseCrippenFingerprint,0.6936363636363636
KlekotaRothFingerprint,0.7640909090909092
LaggnerFingerprint,0.7539393939393939
LayeredFingerprint,0.6984343434343434
LingoFingerprint,0.7235353535353535
MACCSFingerprint,0.7237373737373738
MAPFingerprint,0.5624242424242425
MHFPFingerprint,0.6681818181818182
MordredFingerprint,0.743989898989899
MORSEFingerprint,0.6281313131313131
MQNsFingerprint,0.6834343434343435
PatternFingerprint,0.6883838383838383
PharmacophoreFingerprint,0.6935858585858585
PhysiochemicalPropertiesFingerprint,0.5981818181818181
PubChemFingerprint,0.7238383838383838
RDFFingerprint,0.5681818181818181
RDKitFingerprint,0.6733333333333333
SECFPFingerprint,0.7187373737373737
TopologicalTorsionFingerprint,0.7087878787878787
USRFingerprint,0.5832828282828283
USRCATFingerprint,0.6083333333333334
VSAFingerprint,0.6582828282828284
WHIMFingerprint,0.5630808080808081
