mol.smiles,energy,full_id,mol_id,act_mol,act_conf,AM1_dipole,AM1_E,AM1_Eele,AM1_HF,AM1_HOMO,AM1_IP,AM1_LUMO,ASA,ASA+,ASA-,ASA_H,ASA_P,CASA+,CASA-,DASA,DCASA,dens,dipole,dipoleX,dipoleY,dipoleZ,E,E_ang,E_ele,E_nb,E_oop,E_rele,E_rnb,E_rsol,E_rvdw,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FASA_P,FCASA+,FCASA-,glob,MNDO_dipole,MNDO_E,MNDO_Eele,MNDO_HF,MNDO_HOMO,MNDO_IP,MNDO_LUMO,npr1,npr2,PM3_dipole,PM3_E,PM3_Eele,PM3_HF,PM3_HOMO,PM3_IP,PM3_LUMO,PM6_dipole,PM6_E,PM6_Eele,PM6_HF,PM6_HOMO,PM6_IP,PM6_LUMO,PM7_dipole,PM7_E,PM7_Eele,PM7_HF,PM7_HOMO,PM7_IP,PM7_LUMO,pmi,pmi1,pmi2,pmi3,pmiX,pmiY,pmiZ,rgyr,std_dim1,std_dim2,std_dim3,vol,VSA,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW5,vsurf_CW6,vsurf_CW7,vsurf_CW8,vsurf_D1,vsurf_D2,vsurf_D3,vsurf_D4,vsurf_D5,vsurf_D6,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EDmin3,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID2,vsurf_ID3,vsurf_ID4,vsurf_ID5,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_S,vsurf_V,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_W8,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp5,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8
Brc1cccc2/C(/C(=O)Nc12)=C/1\C(=N\O)\c2cc(/C=N\O)ccc2N\1,127.34,MOL00000183_2,MOL00000183,1,0,,,,,,,,536.30865,0,0,536.30865,0,0,0,0,0,1.3223714,0,0,0,0,102.30404,64.319992,-3.2547362,8.7603779,0.37942868,0,0,0,0,-11.334967,0,24.973898,29.762863,3.8703396,12.015114,0,0,1,0,0,0,0.0091596628,,,,,,,,0.1002961,0.91259891,,,,,,,,,,,,,,,,,,,,,,8071.5547,804.35931,7318.9033,8019.8467,7220.7168,398.17511,452.66321,4.5603466,3.7949774,1.4565474,0.3632026,293.5,313.23535,3.2988563,0.082143329,2.8812466,2.4569347,1.7282077,0.82749951,0.42654437,0.19566847,0.062136635,0.019032398,813.875,474.75,341,277.5,229,189.25,130.125,85.375,0.5,0.70710677,0.5,0.5,0.5,1,-2.6173711,-2.587198,-2.5653744,-7.401228,-7.1934977,-7.0434828,1.304281,434.25,560.5,435.875,180.25,76.125,29.125,8.25,2.25,0.22324046,0.10495496,0.55306298,0.46379578,0.51573408,0.74089122,0.93494886,1.0520933,0.40509987,0.30001542,1.5718807,2.3878531,2.7607341,2.9403365,2.8061216,2.54216,4.6716056,4.6445961,1.3989331,491.08853,687,1422.75,890.25,486.375,180.25,76.125,29.125,8.25,2.25,988.5,329.75,50.5,0,0,0,0,0
FC(F)(F)C=1C=C(NC(=O)CCCNc2ncccn2)C(=O)NC=1,-67.220001,MOL00000189_1,MOL00000189,1,0,,,,,,,,497.20395,0,0,497.20395,0,0,0,0,0,1.2410848,0,0,0,0,-21.045954,10.775243,-61.356647,-50.518642,0.067354284,0,0,0,0,-28.619926,0,10.039295,15.011505,8.5907974,10.838005,0,0,1,0,0,0,0.063295782,,,,,,,,0.23887634,0.86718464,,,,,,,,,,,,,,,,,,,,,,4935.1602,1119.524,4064.1699,4686.626,3787.4509,401.79294,745.9162,3.8837976,3.3248665,1.6555994,0.83649158,263.625,303.81299,1.2186248,0.057274044,2.82217,2.4040611,1.8862422,0.98217052,0.47325453,0.24853452,0.11693978,0.051189508,543,305.75,220.625,171.25,134,106.625,56.75,37.125,0.5,0.70710677,0.86602539,0.5,0.5,0.70710677,-2.6777017,-2.6640229,-2.6408792,-8.7287302,-8.627286,-8.4243631,1.2856719,394.625,583.625,466.875,199.125,83.25,38,15.75,6.625,0.3773371,0.22189781,1.1282105,1.0160499,1.3902769,1.9597125,2.3836758,2.5259604,1.5654737,0.97609073,0.68636596,0.20543294,0.28964952,1.054608,2.1740444,2.79425,3.386945,3.5446258,1.3807967,458.24994,632.75,1225.875,835.5,498.125,199.125,83.25,38,15.75,6.625,831.25,251.875,31.25,0,0,0,0,0
O=[N+]([O-])c1ccc2[nH]c(C=3C(=O)Nc4cc5OCOc5cc4C=3)nc2c1,35.220001,MOL00000097_5,MOL00000097,1,0,,,,,,,,519.9411,0,0,519.9411,0,0,0,0,0,1.2382529,0,0,0,0,68.283875,52.517941,-12.320535,1.4412953,0.0021379781,0,0,0,0,-12.160356,0,9.3683348,15.315854,4.954165,13.76183,0,0,1,0,0,0,0.00051812705,,,,,,,,0.089413986,0.91168082,,,,,,,,,,,,,,,,,,,,,,7651.5029,683.7771,6971.9116,7647.3169,6582.1738,471.08295,598.24585,4.7424183,4.4314976,1.3642155,0.10087155,274.75,296.25781,2.2333472,0.092098817,2.9101582,2.5791929,2.0423396,0.76284438,0.34609759,0.16199946,0.068560608,0.025593916,792.375,464.125,334,258.375,200.25,148.125,112,87.375,4.0311289,3.5,0.70710677,0.5,0.5,0.70710677,-2.4369516,-2.4268274,-2.4144051,-7.0624971,-7.0422082,-7.0365214,1.3032256,384,554.75,468.125,161,63.25,23.75,10,3.5,0.18937126,0.091920659,0.49952719,0.4436205,0.29503199,0.2801958,0.25201029,0.24673215,0.48679194,0.46909228,0.26420534,0.44740626,0.69815743,1.1015396,2.017503,3.2075076,4.273088,5.1498141,1.3869517,481.54166,667.875,1406.875,931.625,511.5,161,63.25,23.75,10,3.5,1022.875,376.875,43.375,0,0,0,0,0
Clc1c(NC(=O)C2=C(O)Nc3ccccc3C2=O)c(Cl)cc(S(=O)(=O)N)c1,-65.220001,MOL00000110_4,MOL00000110,1,0,,,,,,,,573.75964,0,0,573.75964,0,0,0,0,0,1.3429826,0,0,0,0,23.869776,15.136984,-28.988379,-10.979118,0.62124997,0,0,0,0,-19.542168,0,11.925435,21.47394,7.165225,18.00926,0,0,1,0,0,0,0.020065656,,,,,,,,0.15183704,0.89398724,,,,,,,,,,,,,,,,,,,,,,8203.5908,1217.7086,7169.6338,8019.8389,6981.769,1016.1525,205.66888,4.4345403,4.1849551,1.4172826,0.59281272,310.625,341.72952,4.0456028,0.048543241,2.7666681,2.2574549,1.766286,1.0494572,0.59958571,0.28069857,0.11016664,0.020776691,783.875,438.25,322.625,262.75,218.5,173.5,94.75,60.125,0.70710677,1.118034,0.5,0.5,0.70710677,1.118034,-2.7808743,-2.7558334,-2.64973,-7.474659,-7.2337389,-7.0568433,1.3415499,386.875,548,533.375,262.5,118.5,48.375,16.875,3.375,0.3672995,0.18411037,1.4348937,1.6017554,1.9533459,2.3998811,2.6735444,2.9123998,2.0938995,2.3525245,0.44467506,1.48546,1.9001634,2.2336819,2.1194551,1.6848849,1.6176276,3.1071982,1.4013674,536.2619,751.5,1477.5,966.875,605.625,262.5,118.5,48.375,16.875,3.375,1090.625,418.875,72.25,0,0,0,0,0
OC1=C(/C(=N/Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2)/c2[nH]nnn2)C(=O)N(C)c2ccccc12,116.22,MOL00000268_2,MOL00000268,1,0,,,,,,,,618.2077,0,0,618.2077,0,0,0,0,0,1.2707647,0,0,0,0,43.201641,33.663372,-48.706379,-20.627958,0.3603996,0,0,0,0,-25.072868,0,18.22958,32.405197,11.576248,28.078421,0,0,1,0,0,0,0.046004258,,,,,,,,0.26793051,0.80579787,,,,,,,,,,,,,,,,,,,,,,8662.6289,2238.4634,6732.1523,8354.6416,6074.9058,1287.941,1299.7819,4.4459176,3.8227229,2.078985,0.81992066,344.875,381.01157,3.3059418,0.052844565,2.7314932,2.3022256,1.8564739,1.0197432,0.55731469,0.2798717,0.057908263,0.0065455004,876.875,498.125,356.25,282.5,227.125,172.625,108.25,74,0.86602539,6.3639612,6.5,3.6400549,0.5,3.1622777,-3.0564451,-2.9338226,-2.9296179,-7.0339317,-6.6942062,-6.5527606,1.3627617,413.375,601.375,554.125,279.25,120.25,44.75,9.75,1.125,0.33754385,0.15840708,0.8089487,0.73434466,1.0728232,1.4243237,1.7534769,1.9033966,0.41937405,0.65347266,0.76038921,1.5357306,1.7021219,1.8224779,2.4246852,2.861016,2.685591,3.3482869,1.4309305,586.0697,838.625,1617,1084.5,662.5,279.875,120.25,44.75,9.75,1.125,1203.625,483.125,108.375,0.625,0,0,0,0
S=C(NN)N/N=C(/C(=O)Nc1ccc([N+](=O)[O-])cc1)\c1c(O)nc2cc([N+](=O)[O-])ccc2n1,212.78,MOL00000229_1,MOL00000229,1,0,,,,,,,,683.10785,0,0,683.10785,0,0,0,0,0,1.2997093,0,0,0,0,132.15205,21.386108,57.727268,81.157227,0.24873228,0,0,0,0,-21.686094,0,19.24404,35.970306,10.115953,23.429956,0,0,1,0,0,0,0.013154978,,,,,,,,0.23410356,0.78672045,,,,,,,,,,,,,,,,,,,,,,12639.669,2928.5,9841.418,12509.421,9410.7617,2880.1846,348.72314,5.2515583,4.5858755,2.2599523,0.52597773,352.625,401.08655,0.85632509,0.044406462,2.7796173,2.5689592,2.1634636,1.1170843,0.53955632,0.23361827,0.11113839,0.052867264,904.75,515.875,353.75,259.75,195.25,148.75,109.375,74.25,6.3442888,6.5192022,0.5,0.5,0.70710677,0.5,-2.3775287,-2.3582685,-2.3542862,-9.5837355,-9.0145588,-9.0002861,1.4490772,535.125,802.5,722,326.375,131.25,51.875,23.25,9.875,0.37102473,0.19971126,0.40372613,0.48014253,0.46002188,0.45262781,0.62854499,0.82181692,1.0067197,1.3633947,0.31024653,0.35330153,0.37208623,0.61796117,0.51847124,0.60743392,0.86452925,1.5660818,1.3711531,646.99194,887.125,1880.875,1338.75,813.125,326.375,131.25,51.875,23.25,9.875,1345.75,536.25,91.125,0,0,0,0,0
O=C(N(C)C)[C@H](Oc1c(OCC)cc([C@@H]2NC(=O)c3c(C)[nH]nc3N2)cc1)C,-83.300003,MOL00000223_1,MOL00000223,1,0,,,,,,,,625.77563,0,0,625.77563,0,0,0,0,0,1.080507,0,0,0,0,20.623907,42.265209,-55.249397,-43.247711,0.25996009,0,0,0,0,-27.883635,0,7.5305657,13.006207,13.815887,12.001686,0,0,1,0,0,0,0.064189553,,,,,,,,0.15607369,0.95964378,,,,,,,,,,,,,,,,,,,,,,7667.4131,1131.2299,6955.5464,7248.0503,5959.8643,958.78033,748.76862,4.6007247,4.2233367,1.4029734,1.0700101,335.25,372.53519,2.716706,0.073252805,2.6687045,2.0772917,1.4967465,0.75685185,0.38607597,0.17705797,0.071577318,0.01572551,721.25,447.25,343.625,278.5,226.125,138.625,87.625,56,0.5,0.5,1,0.70710677,0.70710677,1.2247449,-2.5767939,-2.5479772,-2.488296,-7.172636,-7.0008821,-6.7714815,1.3666476,461.75,584,454.5,190.5,80.25,32.125,10.875,2.625,0.23353946,0.11535009,0.13447052,0.22919513,0.43813637,0.71435744,0.8690021,0.58892101,0.91164619,1.6913964,0.80229664,1.1453817,1.3359553,1.7382592,2.3879476,2.616837,2.7087333,3.6113822,1.3968868,563.30621,786.875,1379.875,882.75,487.75,190.5,80.25,32.125,10.875,2.625,918.125,298.75,33.25,0,0,0,0,0
S(=O)(=O)(Nc1c(C)cc(C)cc1)c1c(C)cc(NC(=O)CN2C(=O)NC(=O)c3ccccc23)cc1,-47.549999,MOL00000328_1,MOL00000328,1,0,,,,,,,,698.24646,0,0,698.24646,0,0,0,0,0,1.1323397,0,0,0,0,18.761183,16.860943,-33.251659,-17.797264,0.11180142,0,0,0,0,-22.79739,0,8.479414,15.14174,11.106288,15.454396,0,0,1,0,0,0,0.0833112,,,,,,,,0.20049396,0.95713675,,,,,,,,,,,,,,,,,,,,,,11591.528,2154.2439,10284.131,10744.683,9301.3555,1193.8915,1096.2812,4.974834,4.5352497,1.6398516,1.30904,413.625,448.05255,2.6771905,0.083949745,2.6159236,2.0247033,1.465028,0.73322183,0.36671484,0.17262757,0.078059301,0.033711083,972.875,571.125,429.375,360.375,294.125,203.375,114.625,66.75,0.5,0.70710677,0.5,0.5,2.2912879,2.7386129,-3.4750421,-3.4132018,-3.404012,-7.8047447,-7.5539293,-7.3863506,1.3801069,401.25,554.75,486.25,212.875,91.375,36.625,15.625,5.75,0.21280931,0.10163025,0.41010106,0.52535075,0.66140801,0.81805235,0.99081475,0.77088928,0.86823732,1.6101222,0.66450864,1.1436068,1.4226915,1.7334859,2.4349892,3.5354061,5.0501814,5.9797616,1.4749794,646.7887,954,1572.375,964.5,548.375,213.75,91.375,36.625,15.625,5.75,1171.125,409.75,62.125,0.875,0,0,0,0
Clc1cc(Nc2nc(-c3ncccc3)ccn2)cc2cc(C(=O)N3NCCCC3)[nH]c12,9.2600002,MOL00000446_1,MOL00000446,1,0,,,,,,,,667.5517,0,0,667.5517,0,0,0,0,0,1.1223954,0,0,0,0,62.179485,53.816521,-34.228516,-12.162182,0.090595521,0,0,0,0,-21.326935,0,10.843864,15.882076,9.5906878,22.066336,0,0,1,0,0,0,0.0040495871,,,,,,,,0.20558861,0.80193567,,,,,,,,,,,,,,,,,,,,,,10109.771,2070.6636,8076.9995,10071.879,8005.4351,1209.9833,894.3526,4.9431677,4.4974566,2.0921264,0.28620178,368.625,399.83209,1.7866414,0.10587793,2.6407642,1.9315348,1.4063215,0.63390523,0.32446766,0.14933778,0.052568749,0.024495305,1014.5,585.875,445.375,371.625,306.125,229.5,131.75,88.875,0.70710677,6.2048368,6.4031243,0.5,0.5,0.70710677,-2.5467205,-2.4982901,-2.4864073,-8.5653677,-8.5149765,-8.0846872,1.4036767,382.125,482.125,409.875,171,72.5,30.25,11,4.125,0.16278417,0.081399262,0.41961199,0.47395805,0.32644367,0.33396178,0.32825819,1.0859793,1.5945921,1.5990901,0.52325451,0.81776083,0.71434343,0.83992487,1.6747265,2.9655602,5.0266571,6.4222817,1.396636,610.12677,852.125,1512.25,866.5,471.5,171,72.5,30.25,11,4.125,1130.125,384.375,61.625,0,0,0,0,0
S(=O)(=O)(C)c1ccc(Nc2nc(N[C@H]3[C@H](N(C)C)CCC3)c(C(F)(F)F)cn2)cc1,-27.02,MOL00000447_1,MOL00000447,1,0,,,,,,,,661.58496,0,0,661.58496,0,0,0,0,0,1.1811323,0,0,0,0,-14.385084,24.645166,-81.869919,-68.573616,0.12425026,0,0,0,0,-18.675478,0,6.7532773,14.146589,22.665838,13.296305,0,0,1,0,0,0,0.036719538,,,,,,,,0.17572983,0.87902415,,,,,,,,,,,,,,,,,,,,,,10786.206,1844.9491,9228.6826,10498.781,8007.0991,2227.9451,551.16217,5.0719028,4.433527,1.8956658,0.84956759,355,394.65735,1.8271657,0.09666384,2.5838301,1.922559,1.5430614,0.68326128,0.26629376,0.11854354,0.066161469,0.028878173,833.75,457.875,348,284.625,227.125,133.625,65.875,40.625,0.5,0.70710677,0.5,1.118034,0.5,0.70710677,-2.6402595,-2.6258368,-2.6088147,-8.5269432,-8.1883745,-8.1449747,1.4116094,294.875,485.625,451.75,167.875,59.875,24.625,13.125,5.375,0.1720546,0.086517349,1.1790977,1.0059358,1.084703,1.4670831,1.8523035,1.6139235,1.1079112,1.2980928,0.92167509,1.5806916,1.495942,0.7348268,1.4331013,2.8165154,2.8160837,2.814085,1.3822373,607.80084,840.125,1353.375,844.625,504.25,167.875,59.875,24.625,13.125,5.375,1058.5,359,52.5,0,0,0,0,0
