0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
0.009,10.731,0.291,16.908,2.288,6.933,3.384,4.729,8.968,4.803,8.497,4.503,4.157,4.389,0.391,5.432,1.518,3.772,1.871,0.705,2.942,0.0,1.702,0.966,0.0,1.148,0.0,0.0,0.0,0.0,0.012,11.286,1.907,18.16,4.463,8.016,4.602,7.359,11.466,13.194,9.407,10.621,4.589,17.783,0.455,6.383,2.094,4.294,3.903,1.024,9.017,0.001,2.065,6.429,0.0,9.578,0.0,0.0,0.0,0.0,0.006,10.154,0.372,15.275,1.898,5.721,2.726,3.549,7.695,4.039,7.552,4.075,3.773,4.625,0.298,5.122,1.392,3.188,1.924,0.414,3.044,0.0,1.27,1.245,0.0,1.088,0.0,0.0,0.0,0.0,0.012,11.269,0.341,18.118,2.759,7.972,4.12,6.015,10.45,5.867,9.386,5.432,4.581,4.983,0.452,5.73,1.693,4.28,1.985,1.015,3.255,0.001,2.054,1.132,0.0,1.678,0.0,0.0,0.0,0.0,0.004,9.833,0.498,14.29,1.695,4.937,2.189,2.806,6.618,3.502,6.841,4.043,3.448,5.166,0.246,4.948,1.288,2.776,2.036,0.247,3.399,0.0,0.982,1.675,0.0,1.065,0.0,0.0,0.0,0.0,0.011,11.432,0.306,18.757,2.778,8.29,3.955,6.047,10.017,5.862,9.385,5.332,4.48,4.867,0.503,5.801,1.636,4.355,1.923,1.068,3.234,0.001,2.158,1.014,0.0,1.503,0.0,0.0,0.0,0.0,0.101,62.415,1.327,146.82,19.996,64.562,24.775,31.7,62.22,55.903,61.135,31.043,25.991,39.584,7.363,48.535,18.402,19.194,26.16,4.952,36.355,0.002,9.908,10.63,0.0,6.148,0.0,0.0,0.0,0.0
0.011,8.885,0.12,13.43,5.705,5.249,2.383,5.605,8.544,4.049,2.571,5.26,6.105,2.886,1.91,2.167,3.68,2.765,0.696,1.316,4.869,1.43,1.398,1.071,4.283,0.22,0.139,1.014,0.496,0.0,0.015,9.493,0.3,14.843,7.573,6.925,2.972,6.946,12.84,5.556,3.064,5.641,8.439,3.712,2.019,2.422,4.836,4.06,0.802,1.386,6.391,1.935,1.637,1.276,6.011,0.291,0.207,1.604,0.784,0.0,0.008,8.196,0.051,11.847,4.258,3.761,1.877,4.556,5.631,3.045,2.186,4.759,4.343,2.137,1.839,1.95,2.699,1.755,0.555,1.252,3.732,1.069,1.233,0.898,3.236,0.176,0.098,0.656,0.32,0.0,0.015,9.428,0.254,14.729,7.314,6.733,2.936,6.773,12.299,5.298,3.001,5.619,8.15,3.594,1.997,2.417,4.693,3.909,0.796,1.38,6.132,1.851,1.596,1.242,5.655,0.275,0.193,1.475,0.721,0.0,0.005,7.764,0.013,10.853,3.035,2.616,1.48,3.879,3.446,2.144,1.945,4.48,3.131,1.638,1.776,1.79,1.933,1.161,0.477,1.203,3.003,0.864,1.14,0.769,2.418,0.136,0.06,0.323,0.158,0.0,0.014,9.761,0.287,15.385,7.458,7.008,2.911,7.142,12.272,5.393,3.124,5.87,8.593,3.959,2.018,2.381,4.875,4.278,0.873,1.39,6.715,2.064,1.693,1.31,6.079,0.286,0.203,1.569,0.767,0.0,0.131,44.003,7.666,95.621,106.23,116.189,30.271,65.45,172.106,44.158,23.546,24.473,66.25,26.645,6.865,19.711,45.97,67.317,5.534,13.924,74.316,28.294,13.32,17.145,93.906,5.467,3.857,32.445,15.858,0.0
0.011,10.412,0.314,20.978,1.962,9.405,3.4,4.454,7.043,4.604,8.317,3.961,2.573,1.572,4.545,4.087,5.099,2.293,4.2,2.854,2.946,3.049,0.257,3.4,0.076,2.336,0.0,0.964,0.007,0.0,0.016,11.341,0.346,23.211,2.294,10.825,4.385,4.533,8.403,5.993,9.564,4.429,2.844,2.189,5.44,5.184,5.793,2.96,5.415,3.62,3.6,3.751,0.3,4.49,0.1,3.754,0.0,1.711,0.009,0.0,0.007,9.406,0.286,18.421,1.569,8.029,2.473,4.351,5.628,3.313,7.146,3.388,2.386,1.094,3.636,3.172,4.53,1.677,3.15,2.213,2.385,2.261,0.201,2.507,0.055,1.304,0.0,0.493,0.005,0.0,0.016,11.318,0.345,23.147,2.285,10.798,4.367,4.531,8.363,5.958,9.535,4.415,2.839,2.177,5.421,5.156,5.782,2.948,5.39,3.602,3.59,3.733,0.298,4.467,0.1,3.726,0.0,1.698,0.009,0.0,0.004,8.674,0.27,16.817,1.306,6.913,1.7,4.289,4.766,2.478,6.34,3.019,2.267,0.781,2.938,2.657,4.031,1.169,2.359,1.786,1.872,1.706,0.167,1.871,0.036,0.661,0.0,0.199,0.003,0.0,0.016,11.39,0.347,23.759,2.372,10.595,4.177,4.571,8.792,6.082,9.532,4.579,2.754,2.04,5.382,5.206,5.533,2.828,5.202,3.545,3.358,3.84,0.319,4.294,0.091,3.417,0.0,1.41,0.009,0.0,0.147,56.355,2.262,192.089,20.889,113.466,35.434,16.519,60.557,75.286,82.684,35.987,19.154,22.734,60.877,46.456,70.811,19.247,66.227,45.7,32.748,23.001,1.106,43.376,0.863,33.358,0.0,23.611,0.05,0.0
0.01,10.384,0.006,21.488,6.232,3.736,8.296,6.143,10.648,6.114,6.573,10.391,4.54,2.569,2.048,6.617,5.542,4.045,0.87,0.644,2.902,1.425,0.001,1.695,3.35,1.264,0.001,0.0,0.0,0.0,0.013,14.482,0.017,25.292,11.907,4.845,19.343,13.451,16.15,23.172,14.726,18.617,10.134,3.343,2.179,10.668,8.538,5.896,0.964,0.913,5.173,1.736,0.002,4.519,4.655,1.636,0.001,0.0,0.0,0.0,0.007,9.797,0.007,18.411,4.773,2.822,8.219,6.381,8.917,5.923,5.922,8.307,4.157,2.042,2.044,6.106,4.646,3.196,0.79,0.638,2.488,1.061,0.001,2.01,2.598,0.916,0.0,0.0,0.0,0.0,0.013,11.29,0.007,24.985,8.414,4.605,10.292,7.177,13.182,8.349,8.178,13.472,5.78,3.204,2.072,7.873,7.017,5.089,0.962,0.682,3.564,1.726,0.002,1.826,4.145,1.629,0.001,0.0,0.0,0.0,0.004,9.437,0.009,16.521,3.571,2.152,9.065,6.988,7.369,6.247,5.787,6.781,4.211,1.567,2.047,5.967,4.109,2.666,0.718,0.667,2.556,0.847,0.001,2.786,2.12,0.623,0.0,0.0,0.0,0.0,0.012,10.964,0.006,24.86,7.857,4.642,9.518,6.736,12.273,7.326,7.964,13.061,5.549,2.974,2.068,7.546,6.564,4.951,0.929,0.662,3.524,1.848,0.002,1.562,4.07,1.552,0.001,0.0,0.0,0.0,0.115,62.175,0.021,196.413,115.031,26.283,85.725,56.091,123.219,64.03,31.573,152.207,35.021,31.937,14.744,115.301,98.801,22.144,12.709,8.303,22.786,11.507,0.036,6.366,54.181,28.474,0.017,0.0,0.0,0.0
0.018,13.019,0.469,27.13,7.274,4.538,7.969,11.072,13.817,9.313,11.487,19.027,6.742,11.546,4.45,9.609,5.73,2.729,3.763,5.363,3.795,2.479,0.799,1.762,0.022,0.386,0.0,0.0,0.0,0.0,0.027,13.931,0.637,29.689,9.531,5.788,10.588,14.304,17.019,11.914,14.406,22.911,8.294,13.694,5.696,11.347,7.532,3.361,4.301,6.982,4.831,3.116,1.225,2.256,0.03,0.514,0.0,0.0,0.0,0.0,0.01,11.788,0.282,23.914,5.062,3.364,5.328,7.854,10.882,6.722,8.739,15.014,5.215,9.506,3.158,7.755,4.186,2.158,3.233,3.902,2.963,1.94,0.446,1.283,0.016,0.276,0.0,0.0,0.0,0.0,0.026,13.897,0.631,29.604,9.471,5.762,10.515,14.224,16.948,11.846,14.328,22.795,8.253,13.645,5.661,11.3,7.493,3.343,4.285,6.946,4.81,3.103,1.214,2.247,0.03,0.513,0.0,0.0,0.0,0.0,0.006,11.107,0.196,22.034,3.652,2.487,3.697,5.725,8.781,5.066,7.114,12.762,4.26,8.059,2.351,6.566,3.157,1.838,2.946,2.888,2.387,1.525,0.24,0.894,0.01,0.176,0.0,0.0,0.0,0.0,0.026,14.532,0.743,30.867,9.82,5.664,11.106,14.468,16.785,12.197,14.699,23.884,8.466,13.604,5.94,11.632,7.288,3.43,4.452,6.873,4.636,2.981,1.222,2.175,0.027,0.467,0.0,0.0,0.0,0.0,0.237,71.004,7.391,184.598,82.46,71.062,92.129,91.628,144.727,109.489,134.496,234.241,90.568,123.236,62.8,123.562,52.894,42.566,41.763,91.736,50.564,45.716,11.016,34.225,0.607,10.715,0.002,0.0,0.0,0.0
0.021,10.632,0.044,20.818,7.477,7.349,8.623,5.339,16.646,5.744,9.051,9.122,8.291,7.948,5.463,10.138,11.244,6.735,4.809,4.029,5.365,1.842,4.221,2.221,2.645,3.438,1.154,1.274,0.17,1.994,0.031,11.554,0.077,23.19,9.868,9.222,11.783,8.449,20.966,6.476,10.343,13.953,12.948,11.179,8.085,14.077,17.485,8.08,5.753,5.855,7.07,2.396,6.099,3.782,3.555,4.283,1.538,1.697,0.289,3.319,0.013,9.525,0.023,17.963,5.639,5.654,6.378,4.308,13.164,5.116,7.505,8.053,5.78,7.068,4.369,7.898,9.32,5.724,4.006,2.492,3.819,1.29,3.405,1.706,1.893,2.535,0.825,0.91,0.089,1.05,0.031,11.434,0.077,22.872,9.641,9.183,10.75,6.558,20.079,6.322,10.297,10.439,11.188,8.956,6.519,12.472,13.663,8.059,5.494,5.656,7.027,2.381,5.12,2.771,3.51,4.264,1.532,1.691,0.286,3.291,0.007,8.955,0.01,16.344,4.315,4.383,5.135,3.815,10.986,4.726,6.661,8.133,4.264,6.91,4.138,6.973,8.534,4.919,3.624,1.715,2.867,0.92,2.855,1.378,1.208,1.868,0.525,0.579,0.04,0.489,0.03,12.051,0.064,24.176,9.275,8.987,11.343,6.517,20.502,6.443,11.013,10.598,11.006,9.058,7.005,12.984,13.56,7.567,5.928,6.059,7.132,2.477,4.984,2.757,3.198,4.304,1.396,1.541,0.255,3.015,0.277,65.88,2.044,159.473,71.645,93.613,80.743,80.694,153.488,41.566,71.333,90.103,119.272,87.158,46.932,112.066,136.38,102.278,42.547,74.305,59.202,24.503,43.464,33.394,73.808,36.292,19.3,20.264,6.288,62.725
0.01,13.934,0.439,19.017,4.362,9.493,3.698,10.318,5.728,9.642,8.238,7.773,3.6,6.167,2.717,7.42,5.638,6.08,5.578,2.305,3.922,2.381,3.042,1.645,0.0,0.0,0.0,0.0,0.0,0.0,0.014,15.206,0.51,20.954,4.856,11.21,4.452,11.218,6.879,11.205,10.188,8.807,4.077,6.891,2.789,8.758,6.677,7.214,6.756,2.514,4.596,2.626,3.532,1.645,0.0,0.0,0.0,0.0,0.0,0.0,0.007,12.43,0.335,16.948,3.858,7.749,2.972,9.175,4.529,8.315,6.508,6.575,3.142,5.417,2.619,5.973,4.726,4.984,4.395,2.017,3.17,2.093,2.44,1.645,0.0,0.0,0.0,0.0,0.0,0.0,0.014,15.17,0.507,20.906,4.845,11.171,4.429,11.184,6.853,11.171,10.145,8.776,4.068,6.873,2.786,8.72,6.661,7.189,6.728,2.506,4.574,2.615,3.517,1.645,0.0,0.0,0.0,0.0,0.0,0.0,0.005,11.433,0.279,15.478,3.481,6.448,2.593,8.571,3.621,7.447,5.276,5.813,2.767,4.921,2.565,5.068,3.913,4.212,3.583,1.867,2.75,1.968,2.052,1.645,0.0,0.0,0.0,0.0,0.0,0.0,0.013,15.53,0.563,21.121,4.837,11.195,4.68,11.788,6.849,10.991,9.985,9.086,3.991,6.942,2.835,9.066,6.334,7.146,6.802,2.676,4.83,2.832,3.689,1.645,0.0,0.0,0.0,0.0,0.0,0.0,0.121,64.838,3.605,112.189,34.434,89.864,45.157,70.677,44.479,85.875,78.803,64.469,20.16,37.489,7.732,50.903,36.019,47.141,33.599,10.688,32.276,8.944,11.231,1.645,0.0,0.0,0.0,0.0,0.0,0.0
0.016,16.399,0.016,32.012,6.221,6.062,8.942,10.516,16.558,5.084,9.247,7.202,8.739,8.011,7.369,11.278,8.557,12.264,7.94,9.395,6.21,7.577,9.053,4.253,3.064,3.011,1.697,0.0,0.0,0.0,0.022,20.937,0.038,35.242,7.603,7.417,12.175,13.902,19.669,6.234,12.214,8.325,13.685,9.288,8.802,12.913,9.952,13.824,9.77,10.25,7.219,9.747,10.024,6.178,4.329,3.296,1.697,0.0,0.0,0.0,0.012,15.353,0.017,28.808,5.024,4.69,8.03,9.088,14.844,4.054,8.325,6.075,7.817,6.795,6.12,10.438,7.052,11.397,6.539,8.589,5.207,7.001,8.255,3.679,2.13,2.831,1.697,0.0,0.0,0.0,0.022,17.6,0.018,35.125,7.522,7.373,10.269,12.513,18.443,6.196,10.362,8.288,10.012,9.259,8.778,12.319,9.874,13.166,9.676,10.23,7.186,8.411,9.967,4.949,4.309,3.292,1.697,0.0,0.0,0.0,0.007,14.759,0.022,26.909,4.048,3.693,7.803,8.243,13.718,3.175,7.784,5.389,7.542,5.93,5.076,9.798,5.99,10.855,5.645,7.921,4.441,6.914,7.541,3.301,1.402,2.719,1.697,0.0,0.0,0.0,0.02,17.552,0.017,35.637,7.243,7.449,10.015,11.809,18.146,5.918,10.135,8.494,9.783,9.234,8.389,11.943,10.061,13.16,9.4,10.073,7.148,8.318,9.649,4.837,3.839,3.181,1.697,0.0,0.0,0.0,0.19,92.896,0.129,303.405,78.739,63.252,64.652,147.025,188.921,78.863,101.717,84.111,85.71,83.186,75.655,101.137,62.138,109.739,95.334,81.627,83.113,63.549,101.954,66.825,96.693,44.084,16.387,0.0,0.0,0.0
0.004,13.909,0.025,20.943,3.094,3.976,3.026,9.945,9.966,8.94,9.683,5.46,7.942,2.908,3.248,4.35,7.161,6.179,3.942,4.504,2.332,4.204,7.119,3.248,2.976,2.546,2.596,3.327,1.8,2.894,0.005,14.848,0.03,22.896,3.421,4.646,6.908,13.764,12.699,12.276,10.862,6.042,11.228,5.644,4.732,5.678,8.157,7.037,5.044,5.308,2.501,6.154,9.471,3.598,3.365,2.771,3.307,3.328,2.097,3.26,0.003,12.641,0.02,18.241,2.658,3.18,3.034,8.994,8.798,7.921,8.243,4.81,6.867,2.734,2.888,4.319,6.669,5.301,3.203,3.717,2.109,4.09,6.626,2.738,2.626,2.22,1.805,3.327,1.371,2.469,0.005,14.797,0.029,22.788,3.389,4.625,3.668,11.183,11.106,10.133,10.789,6.027,9.045,3.445,3.689,4.581,7.592,7.001,4.56,5.283,2.494,4.607,7.811,3.585,3.359,2.762,3.281,3.328,2.085,3.245,0.002,11.98,0.017,16.774,2.419,2.668,3.209,8.532,8.293,7.386,7.402,4.35,6.319,2.766,2.722,4.366,6.431,4.815,2.851,3.303,1.975,4.134,6.424,2.458,2.32,2.041,1.41,3.327,1.134,2.276,0.005,15.546,0.032,24.257,3.62,4.849,3.498,11.373,11.777,10.479,11.409,6.109,9.533,3.455,3.848,4.556,7.836,7.287,5.001,5.532,2.586,4.636,7.939,3.86,3.25,2.938,3.681,3.328,2.315,3.542,0.045,75.21,0.37,149.186,18.144,46.095,25.824,75.703,104.118,91.339,83.445,64.873,79.972,27.474,32.143,27.58,51.01,77.584,22.957,48.484,16.2,30.372,65.677,24.081,37.614,19.998,34.146,17.278,14.209,23.717
0.0,14.92,0.175,20.674,6.65,6.938,5.335,9.74,8.823,6.58,9.51,12.748,7.232,6.854,5.544,5.713,3.893,5.216,4.304,2.362,5.511,4.93,2.119,2.777,1.027,0.455,0.0,0.0,0.0,0.0,0.0,20.036,0.44,23.275,8.114,8.166,8.917,12.293,10.751,7.272,12.892,16.103,10.89,9.136,6.525,7.403,4.518,8.141,5.979,6.298,10.7,10.521,3.875,4.262,1.411,0.575,0.0,0.0,0.0,0.0,0.0,13.308,0.083,18.125,5.216,5.628,4.852,8.188,7.177,5.597,8.185,10.25,6.154,5.316,4.795,4.855,3.469,4.79,3.58,2.694,4.08,4.173,1.102,1.956,0.749,0.352,0.0,0.0,0.0,0.0,0.0,16.604,0.357,23.119,7.99,8.024,6.269,11.362,10.529,7.24,10.874,15.601,8.755,8.719,6.417,6.83,4.404,6.041,5.201,2.606,7.699,6.368,3.656,4.037,1.355,0.573,0.0,0.0,0.0,0.0,0.0,12.333,0.037,16.515,4.161,4.804,5.094,7.438,5.879,5.051,7.517,8.557,5.697,3.94,4.283,4.137,3.119,4.804,3.103,3.639,3.049,3.707,0.486,1.476,0.505,0.258,0.0,0.0,0.0,0.0,0.0,16.805,0.4,23.651,8.239,8.675,6.387,12.17,10.754,7.765,11.426,16.534,9.158,8.969,6.54,6.846,4.511,6.046,5.307,2.263,7.278,5.879,3.572,4.045,1.233,0.531,0.0,0.0,0.0,0.0,0.0,75.254,10.401,176.363,78.415,63.674,40.096,87.281,98.099,37.278,56.189,113.225,89.608,75.742,48.242,95.026,40.813,50.033,34.311,4.88,89.697,32.241,76.218,71.773,6.996,2.625,0.0,0.0,0.0,0.0
