0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
14.402,2.121,0.132,0.865,0.127,0.177,0.177,0.177,0.498,0.418,0.148,19.94,1.949,0.135,0.905,0.089,0.177,0.177,0.177,0.963,0.342,0.133,14.706,1.948,0.111,0.877,0.116,0.177,0.177,0.177,0.52,0.353,0.084,14.673,2.264,0.149,0.859,0.132,0.177,0.177,0.177,0.517,0.475,0.223,15.262,1.774,0.086,0.891,0.104,0.177,0.177,0.18,0.561,0.293,0.042,14.517,2.223,0.143,0.86,0.132,0.177,0.18,0.177,0.506,0.459,0.201,14.169,2.712,0.077,0.836,0.16,0.177,0.177,0.177,0.483,0.688,0.034,16.655,22.025,16.766,17.086,17.121,16.883,16.959,32.73,41.826,30.498,35.739,28.537,34.672,39.733,0.177,0.177,0.797,0.858,0.816,0.788,0.837,0.79,0.753,0.355,0.479,0.319,0.405,0.298,0.388,0.402,53.413,69.093,50.437,57.776,47.991,56.175,59.659
22.858,1.734,0.198,0.922,0.07,0.179,0.179,0.179,0.593,0.369,0.263,23.177,1.921,0.231,0.915,0.076,0.179,0.179,0.179,0.609,0.438,0.355,22.81,1.544,0.178,0.93,0.063,0.179,0.179,0.182,0.592,0.295,0.213,23.001,1.907,0.223,0.915,0.076,0.179,0.179,0.179,0.6,0.437,0.332,22.731,1.318,0.152,0.939,0.054,0.179,0.182,0.179,0.589,0.216,0.155,23.279,1.877,0.225,0.917,0.074,0.179,0.179,0.179,0.615,0.422,0.339,25.311,2.428,0.267,0.904,0.087,0.179,0.179,0.179,0.727,0.666,0.471,24.79,25.328,24.532,25.13,24.2,25.382,28.005,44.503,50.297,39.555,49.403,33.6,49.361,68.851,0.179,0.179,0.883,0.873,0.895,0.873,0.909,0.876,0.856,0.408,0.468,0.367,0.456,0.32,0.459,0.621,77.146,85.886,70.367,84.297,62.349,84.584,113.265
19.659,1.868,0.0,0.913,0.087,0.175,0.175,1.0,0.562,0.432,0.542,20.508,2.007,0.0,0.911,0.089,0.175,0.175,1.0,0.612,0.499,0.513,18.888,1.717,0.0,0.917,0.083,0.175,0.178,1.0,0.519,0.36,0.567,20.501,2.005,0.0,0.911,0.089,0.175,0.175,1.0,0.611,0.499,0.513,17.97,1.553,0.0,0.92,0.08,0.175,0.175,1.0,0.471,0.289,0.597,20.044,1.962,0.0,0.911,0.089,0.175,0.175,1.0,0.584,0.477,0.532,21.22,2.467,0.0,0.896,0.104,0.175,0.175,1.0,0.658,0.71,0.387,21.528,22.515,20.605,22.506,19.523,22.005,23.688,36.733,41.163,32.423,41.108,27.9,39.318,52.358,0.313,0.313,0.87,0.866,0.875,0.866,0.881,0.866,0.844,0.512,0.541,0.482,0.541,0.452,0.531,0.585,58.26,63.678,53.028,63.614,47.423,61.324,76.046
17.505,1.994,0.356,0.882,0.1,0.174,0.174,0.174,0.541,0.43,0.261,17.087,2.471,0.446,0.854,0.124,0.174,0.174,0.176,0.517,0.686,0.435,17.329,1.938,0.344,0.884,0.099,0.174,0.174,0.174,0.53,0.404,0.268,17.493,2.144,0.388,0.874,0.107,0.174,0.174,0.174,0.541,0.5,0.313,17.376,1.876,0.331,0.887,0.096,0.174,0.174,0.174,0.533,0.379,0.263,17.477,2.074,0.384,0.877,0.104,0.174,0.174,0.174,0.54,0.468,0.302,18.972,2.254,0.368,0.879,0.104,0.174,0.174,0.174,0.637,0.546,0.279,19.855,20.003,19.611,20.025,19.583,19.935,21.594,41.846,50.94,40.211,45.114,38.966,43.756,50.569,0.174,0.175,0.822,0.781,0.825,0.81,0.831,0.815,0.818,0.411,0.546,0.401,0.451,0.392,0.436,0.487,74.121,89.759,71.384,79.674,69.345,77.617,87.9
14.611,4.322,0.674,0.745,0.22,0.165,0.165,0.165,0.476,0.368,0.31,14.675,4.406,0.704,0.742,0.223,0.165,0.165,0.165,0.48,0.379,0.336,14.773,4.08,0.646,0.758,0.209,0.165,0.165,0.165,0.488,0.329,0.289,14.68,4.401,0.704,0.742,0.222,0.165,0.165,0.165,0.481,0.378,0.336,14.802,3.889,0.607,0.767,0.202,0.165,0.167,0.165,0.495,0.297,0.256,14.37,4.544,0.68,0.733,0.232,0.165,0.165,0.167,0.46,0.403,0.31,16.826,4.855,0.736,0.751,0.217,0.165,0.165,0.165,0.633,0.459,0.361,19.607,19.784,19.499,19.785,19.297,19.594,22.418,75.901,78.083,72.454,78.038,68.904,78.158,97.664,0.165,0.165,0.618,0.613,0.636,0.613,0.651,0.6,0.626,0.384,0.398,0.369,0.398,0.349,0.391,0.484,138.042,143.379,130.909,143.298,123.144,142.135,180.236
20.648,5.262,0.342,0.787,0.2,0.167,0.165,0.165,0.465,0.273,0.307,20.829,6.306,0.35,0.758,0.229,0.165,0.165,0.165,0.473,0.39,0.323,19.789,5.124,0.328,0.784,0.203,0.165,0.165,0.165,0.427,0.259,0.286,21.506,5.431,0.36,0.788,0.199,0.167,0.165,0.167,0.504,0.291,0.339,18.519,5.319,0.302,0.767,0.22,0.165,0.165,0.167,0.374,0.277,0.244,20.949,5.491,0.341,0.782,0.205,0.165,0.165,0.165,0.479,0.298,0.304,26.325,5.097,0.475,0.825,0.16,0.165,0.165,0.165,0.756,0.256,0.603,26.252,27.485,25.242,27.298,24.14,26.782,31.898,117.503,140.846,109.59,126.502,105.7,124.064,149.124,0.166,0.165,0.68,0.637,0.676,0.682,0.651,0.673,0.738,0.348,0.395,0.324,0.378,0.299,0.36,0.538,180.891,214.255,168.131,195.852,159.614,190.111,244.804
15.74,3.269,0.999,0.787,0.163,0.172,0.172,0.172,0.613,0.268,0.379,15.788,3.207,1.077,0.787,0.16,0.172,0.172,0.172,0.617,0.258,0.441,15.595,3.365,0.911,0.785,0.169,0.172,0.172,0.172,0.602,0.284,0.315,15.784,3.209,1.075,0.786,0.16,0.172,0.172,0.172,0.617,0.258,0.44,15.536,3.434,0.827,0.785,0.173,0.172,0.172,0.174,0.598,0.296,0.258,15.925,3.177,1.063,0.79,0.158,0.172,0.172,0.181,0.628,0.253,0.428,14.542,2.092,1.453,0.804,0.116,0.172,0.172,0.172,0.528,0.108,0.696,20.009,20.072,19.871,20.069,19.797,20.165,18.087,70.454,71.091,69.751,71.081,69.029,70.894,54.595,0.172,0.172,0.68,0.68,0.677,0.68,0.677,0.685,0.706,0.42,0.439,0.4,0.438,0.384,0.436,0.444,141.883,145.682,137.429,145.619,132.924,144.837,116.894
21.469,3.587,1.178,0.818,0.137,0.163,0.163,0.163,0.68,0.426,0.405,21.585,3.656,1.124,0.819,0.139,0.163,0.163,0.163,0.694,0.403,0.367,21.555,3.523,1.177,0.821,0.134,0.163,0.163,0.163,0.684,0.418,0.404,21.476,3.65,1.171,0.817,0.139,0.163,0.163,0.163,0.684,0.422,0.399,21.628,3.437,1.163,0.825,0.131,0.163,0.163,0.167,0.688,0.397,0.396,21.388,3.59,1.176,0.818,0.137,0.163,0.163,0.163,0.678,0.414,0.405,23.03,3.631,1.077,0.83,0.131,0.163,0.163,0.163,0.794,0.365,0.295,26.234,26.364,26.255,26.298,26.228,26.155,27.739,106.526,107.268,105.448,107.827,103.489,106.166,112.354,0.163,0.163,0.728,0.728,0.731,0.725,0.737,0.727,0.745,0.504,0.488,0.502,0.501,0.494,0.499,0.484,223.483,222.291,221.058,225.959,216.189,222.628,230.2
28.999,2.778,0.254,0.905,0.087,0.168,0.168,0.168,0.591,0.384,0.297,27.584,3.456,0.247,0.882,0.11,0.168,0.168,0.168,0.534,0.595,0.237,28.829,2.927,0.255,0.901,0.091,0.168,0.168,0.168,0.583,0.426,0.314,28.877,2.818,0.253,0.904,0.088,0.168,0.168,0.17,0.586,0.396,0.28,28.597,3.066,0.253,0.896,0.096,0.168,0.168,0.168,0.574,0.468,0.312,28.93,2.73,0.248,0.907,0.086,0.168,0.168,0.168,0.588,0.371,0.263,29.047,2.779,0.192,0.907,0.087,0.168,0.168,0.168,0.599,0.355,0.063,32.031,31.288,32.011,31.948,31.916,31.907,32.017,88.628,103.02,92.483,89.414,95.69,86.81,86.818,0.168,0.168,0.858,0.822,0.851,0.856,0.844,0.86,0.861,0.424,0.456,0.441,0.42,0.451,0.407,0.339,141.091,157.885,146.035,141.991,149.76,138.265,134.328
16.805,4.276,0.807,0.768,0.195,0.169,0.169,0.169,0.512,0.443,0.235,18.726,4.372,0.763,0.785,0.183,0.171,0.169,0.171,0.638,0.466,0.207,16.812,4.046,0.817,0.776,0.187,0.169,0.169,0.169,0.513,0.388,0.241,17.289,4.499,0.798,0.765,0.199,0.171,0.169,0.169,0.543,0.495,0.228,17.056,3.676,0.811,0.792,0.171,0.169,0.169,0.169,0.531,0.308,0.239,16.646,4.557,0.794,0.757,0.207,0.169,0.169,0.169,0.504,0.507,0.228,19.117,4.271,0.552,0.799,0.178,0.169,0.169,0.169,0.717,0.36,0.081,21.888,23.861,21.674,22.586,21.543,21.996,23.939,88.87,99.499,85.055,95.164,79.519,92.677,94.537,0.169,0.171,0.652,0.677,0.663,0.648,0.688,0.635,0.698,0.397,0.437,0.381,0.422,0.359,0.413,0.386,168.758,185.86,162.271,179.809,151.916,174.87,163.5
22.84,3.375,1.341,0.829,0.122,0.163,0.163,0.163,0.602,0.324,0.391,23.498,3.107,1.324,0.841,0.111,0.163,0.163,0.163,0.64,0.276,0.344,22.894,3.504,1.328,0.826,0.126,0.165,0.163,0.163,0.604,0.348,0.393,22.94,3.239,1.357,0.833,0.118,0.163,0.163,0.163,0.609,0.298,0.382,23.028,3.579,1.301,0.825,0.128,0.163,0.163,0.163,0.611,0.364,0.384,22.782,3.261,1.339,0.832,0.119,0.163,0.163,0.163,0.6,0.304,0.383,24.32,2.579,1.086,0.869,0.092,0.163,0.163,0.163,0.681,0.16,0.142,27.556,27.929,27.726,27.536,27.908,27.381,27.985,112.236,108.239,115.266,109.825,117.041,109.145,91.93,0.163,0.163,0.743,0.762,0.739,0.75,0.738,0.748,0.804,0.439,0.42,0.449,0.43,0.453,0.429,0.328,243.151,232.84,249.509,238.173,252.181,235.965,188.022
12.915,5.832,0.803,0.661,0.298,0.167,0.167,0.167,0.511,0.428,0.369,13.463,5.7,0.783,0.675,0.286,0.167,0.167,0.168,0.548,0.396,0.342,12.474,6.003,0.831,0.646,0.311,0.167,0.167,0.167,0.486,0.471,0.406,13.459,5.704,0.783,0.675,0.286,0.167,0.167,0.167,0.548,0.397,0.342,11.986,6.103,0.847,0.633,0.322,0.167,0.167,0.167,0.46,0.506,0.431,13.135,5.656,0.771,0.671,0.289,0.167,0.167,0.167,0.524,0.394,0.335,15.633,3.771,0.513,0.785,0.189,0.167,0.168,0.167,0.728,0.165,0.143,19.549,19.946,19.309,19.946,18.936,19.562,19.917,90.366,91.739,90.248,91.778,88.478,88.787,68.906,0.167,0.167,0.491,0.512,0.469,0.512,0.449,0.507,0.677,0.436,0.429,0.454,0.429,0.466,0.418,0.346,170.377,171.738,171.822,171.851,169.387,165.664,119.081
22.05,3.614,0.58,0.84,0.138,0.168,0.168,0.168,0.552,0.497,0.368,23.716,3.626,0.544,0.85,0.13,0.168,0.168,0.168,0.641,0.485,0.321,22.299,3.432,0.585,0.847,0.13,0.168,0.168,0.168,0.565,0.451,0.386,22.333,3.731,0.57,0.839,0.14,0.168,0.168,0.17,0.567,0.526,0.345,22.635,3.274,0.581,0.854,0.124,0.168,0.168,0.168,0.582,0.41,0.392,21.541,3.785,0.57,0.832,0.146,0.168,0.168,0.17,0.527,0.541,0.346,21.749,3.951,0.423,0.833,0.151,0.168,0.168,0.168,0.555,0.464,0.154,26.244,27.886,26.317,26.634,26.491,25.896,26.123,94.572,100.878,91.595,98.175,89.171,95.965,96.788,0.168,0.168,0.76,0.776,0.771,0.758,0.782,0.748,0.749,0.473,0.482,0.467,0.479,0.461,0.472,0.391,167.032,175.582,162.69,172.308,158.747,168.336,159.228
13.544,1.306,0.258,0.896,0.086,0.188,0.188,0.188,0.571,0.412,0.373,14.276,1.424,0.255,0.895,0.089,0.188,0.188,0.188,0.634,0.489,0.362,12.766,1.193,0.262,0.898,0.084,0.188,0.188,0.188,0.507,0.345,0.387,14.265,1.423,0.255,0.895,0.089,0.188,0.188,0.188,0.633,0.488,0.362,11.93,1.06,0.264,0.9,0.08,0.188,0.188,0.192,0.443,0.273,0.394,14.037,1.367,0.254,0.896,0.087,0.188,0.188,0.188,0.613,0.45,0.359,14.396,1.861,0.321,0.868,0.112,0.188,0.188,0.188,0.643,0.815,0.589,15.108,15.955,14.221,15.944,13.254,15.657,16.577,21.521,24.334,18.882,24.301,16.07,23.094,31.995,0.188,0.188,0.845,0.842,0.847,0.842,0.85,0.845,0.803,0.452,0.495,0.413,0.495,0.37,0.474,0.682,41.191,45.473,37.086,45.423,32.657,43.623,57.159
16.078,1.883,0.178,0.886,0.104,0.188,0.188,0.188,0.591,0.418,0.464,16.611,1.973,0.176,0.885,0.105,0.188,0.188,0.188,0.631,0.456,0.456,15.657,1.772,0.179,0.889,0.101,0.188,0.192,0.188,0.561,0.367,0.463,16.607,1.971,0.176,0.885,0.105,0.188,0.188,0.188,0.631,0.455,0.456,15.136,1.652,0.181,0.892,0.097,0.188,0.188,0.188,0.526,0.311,0.466,16.257,1.95,0.179,0.884,0.106,0.188,0.188,0.188,0.605,0.445,0.468,16.725,2.67,0.175,0.855,0.136,0.188,0.188,0.188,0.642,0.81,0.452,18.139,18.759,17.608,18.754,16.968,18.386,19.57,33.481,36.041,30.871,36.011,28.039,34.959,48.05,0.188,0.188,0.83,0.828,0.834,0.828,0.838,0.826,0.782,0.491,0.514,0.464,0.514,0.434,0.506,0.635,57.017,60.573,53.451,60.532,49.533,59.006,75.432
19.492,1.624,0.609,0.897,0.075,0.178,0.175,0.178,0.652,0.438,0.327,19.754,1.663,0.665,0.895,0.075,0.175,0.175,0.175,0.67,0.459,0.425,19.396,1.564,0.553,0.902,0.073,0.175,0.175,0.175,0.646,0.403,0.24,19.756,1.662,0.665,0.895,0.075,0.175,0.175,0.175,0.67,0.458,0.424,19.169,1.51,0.481,0.906,0.071,0.178,0.175,0.178,0.633,0.369,0.159,19.417,1.671,0.635,0.894,0.077,0.175,0.175,0.185,0.647,0.46,0.379,18.921,2.086,0.613,0.875,0.096,0.175,0.178,0.175,0.615,0.749,0.337,21.726,22.083,21.513,22.083,21.16,21.723,21.621,44.523,47.104,41.927,47.079,38.888,45.832,52.351,0.177,0.175,0.846,0.842,0.852,0.842,0.859,0.841,0.813,0.472,0.518,0.43,0.518,0.387,0.495,0.567,85.536,91.042,80.211,90.991,73.96,88.152,98.175
16.838,2.075,0.81,0.854,0.105,0.179,0.179,0.179,0.636,0.317,0.419,16.954,2.047,0.861,0.854,0.103,0.179,0.179,0.179,0.643,0.305,0.469,16.8,2.083,0.769,0.855,0.106,0.179,0.179,0.179,0.636,0.318,0.38,16.955,2.047,0.861,0.854,0.103,0.179,0.179,0.179,0.643,0.305,0.469,16.711,2.079,0.712,0.857,0.107,0.179,0.179,0.179,0.633,0.31,0.327,16.812,2.06,0.823,0.854,0.105,0.179,0.179,0.179,0.633,0.309,0.428,13.919,1.465,1.065,0.846,0.089,0.179,0.182,0.179,0.434,0.18,0.354,19.723,19.862,19.652,19.863,19.502,19.694,16.449,50.262,51.07,49.516,51.075,48.116,50.162,36.768,0.179,0.179,0.781,0.78,0.782,0.78,0.785,0.78,0.769,0.457,0.472,0.445,0.472,0.423,0.456,0.323,98.296,100.827,96.078,100.831,92.344,98.364,74.924
