fingerprint,balanced_accuracy
AtomPairFingerprint,0.7250000000000001
AutocorrFingerprint,0.69
AvalonFingerprint,0.6950000000000001
E3FPFingerprint,0.71
ECFPFingerprint,0.77
ElectroShapeFingerprint,0.6399999999999999
ERGFingerprint,0.7250000000000001
EStateFingerprint,0.705
GETAWAYFingerprint,0.66
GhoseCrippenFingerprint,0.71
KlekotaRothFingerprint,0.755
LaggnerFingerprint,0.755
LayeredFingerprint,0.7
LingoFingerprint,0.735
MACCSFingerprint,0.735
MAPFingerprint,0.505
MHFPFingerprint,0.675
MordredFingerprint,0.72
MORSEFingerprint,0.66
MQNsFingerprint,0.69
PatternFingerprint,0.685
PharmacophoreFingerprint,0.685
PhysiochemicalPropertiesFingerprint,0.615
PubChemFingerprint,0.72
RDFFingerprint,0.665
RDKitFingerprint,0.69
SECFPFingerprint,0.72
TopologicalTorsionFingerprint,0.72
USRFingerprint,0.5700000000000001
USRCATFingerprint,0.7
VSAFingerprint,0.665
WHIMFingerprint,0.63
