fingerprint,type,ba_test_1,ba_test_2,diff%
RDFFingerprint,3D,0.645,0.5578787878787879,-14.0
ElectroShapeFingerprint,3D,0.6399999999999999,0.5881818181818181,-8.0
WHIMFingerprint,3D,0.625,0.5780808080808081,-8.0
USRCATFingerprint,3D,0.6699999999999999,0.6334343434343435,-5.0
MHFPFingerprint,2D,0.66,0.6328787878787878,-4.0
USRFingerprint,3D,0.585,0.5632323232323233,-4.0
TopologicalTorsionFingerprint,2D,0.73,0.6989393939393941,-4.0
MOE3D,3D,0.6799999999999999,0.6532828282828282,-4.0
AtomPairFingerprint,2D,0.73,0.7083333333333333,-3.0
AvalonFingerprint,2D,0.69,0.6683838383838384,-3.0
LaggnerFingerprint,2D,0.765,0.7489393939393939,-2.0
LayeredFingerprint,2D,0.715,0.6985353535353536,-2.0
LingoFingerprint,2D,0.73,0.7185353535353536,-2.0
RDKitFingerprint,2D,0.68,0.6634848484848486,-2.0
ERGFingerprint,2D,0.7050000000000001,0.6881818181818182,-2.0
PharmacophoreFingerprint,3D,0.69,0.6786363636363637,-2.0
pmapper3D,3D,0.767,0.756,-1.4
SECFPFingerprint,2D,0.73,0.7237373737373738,-1.0
ECFPFingerprint,2D,0.775,0.7639393939393939,-1.0
PatternFingerprint,2D,0.675,0.6682828282828284,-1.0
GhoseCrippenFingerprint,2D,0.705,0.6985858585858586,-1.0
MORSEFingerprint,3D,0.635,0.628080808080808,-1.0
MACCSFingerprint,2D,0.74,0.7388383838383838,-0.0
E3FPFingerprint,3D,0.72,0.7186363636363636,-0.0
AutocorrFingerprint,2D,0.69,0.6932828282828283,0.0
EStateFingerprint,2D,0.705,0.7135353535353535,1.0
MordredFingerprint,2D,0.71,0.7187878787878788,1.0
PhysiochemicalPropertiesFingerprint,2D,0.585,0.5930808080808081,1.0
PubChemFingerprint,2D,0.7150000000000001,0.7238888888888889,1.0
KlekotaRothFingerprint,2D,0.76,0.7640404040404041,1.0
VSAFingerprint,3D,0.675,0.6784343434343434,1.0
GETAWAYFingerprint,3D,0.655,0.6583838383838384,1.0
MQNsFingerprint,2D,0.69,0.7086363636363636,3.0
MAPFingerprint,2D,0.535,0.5525252525252525,3.0
